_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,context_2,CV_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
B,Fsakshi2_47,stimulus_23_B,raw_data/wav/Fsakshi2.wav,128.7406,129.07,ADA,Fsakshi2,C,I,d,TGT,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_51,402.09008,401.58646,dʱ,Mnirbhay1,ADHA
A,Fsakshi2_49,stimulus_24_A,raw_data/wav/Fsakshi2.wav,137.93788,138.28,ADHA,Fsakshi2,C,I,dʱ,TGT,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_49,212.66,212.33605,dʱ,Mrajesh1,ADHA
B,Mnirbhay2_50,stimulus_25_B,raw_data/wav/Mnirbhay2.wav,337.76,338.25,ADHA,Mnirbhay2,C,I,dʱ,TGT,I,C,raw_data/wav/FNiralee2.wav,FNiralee2_50,196.32,195.88,dʱ,FNiralee2,ADHA
B,Fbhavya2_48,stimulus_26_B,raw_data/wav/Fbhavya2.wav,164.70264,165.19,ADA,Fbhavya2,C,I,d,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_48,319.32,318.83,d,Mnirbhay2,ADA
B,Mnirbhay1_46,stimulus_27_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_51,157.52,157.20509,dʱ,Fsakshi1,ADHA
A,Fbhavya2_51,stimulus_28_A,raw_data/wav/Fbhavya2.wav,178.52405,179.07,ADHA,Fbhavya2,C,I,dʱ,TGT,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_51,217.12,216.68,dʱ,Mrajesh1,ADHA
B,Mrajesh1_50,stimulus_29_B,raw_data/wav/Mrajesh1.wav,214.45848,214.73746,ADHA,Mrajesh1,C,I,dʱ,TGT,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_50,214.73746,214.37185,dʱ,FNiralee1,ADHA
B,Mnirbhay1_46,stimulus_30_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_46,145.50789,145.14,d,Fsakshi1,ADA
B,Mnirbhay1_48,stimulus_31_B,raw_data/wav/Mnirbhay1.wav,376.87997,377.41,ADA,Mnirbhay1,C,I,d,TGT,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_34,154.25,153.89795,ɖ,FNiralee1,ADRA
A,Mnirbhay1_35,stimulus_32_A,raw_data/wav/Mnirbhay1.wav,278.36311,278.81684,ADRA,Mnirbhay1,C,I,ɖ,TGT,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_35,126.6761,126.16475,ɖ,Fbhavya2,ADRA
B,Mrajesh1_36,stimulus_33_B,raw_data/wav/Mrajesh1.wav,158.2176,158.51,ADRA,Mrajesh1,C,I,ɖ,TGT,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_36,158.51,158.13423,ɖ,FNiralee1,ADRA
B,Mnirbhay1_46,stimulus_34_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_46,145.50789,145.14,d,Fsakshi1,ADA
B,Mnirbhay1_41,stimulus_35_B,raw_data/wav/Mnirbhay1.wav,336.53384,337.01041,ATA,Mnirbhay1,C,I,t,TGT,I,C,raw_data/wav/FNiralee2.wav,FNiralee2_34,132.05,131.55,ɖ,FNiralee2,ADRA
