_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,context_2,CV_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
B,Fsakshi2_47,stimulus_23_B,raw_data/wav/Fsakshi2.wav,128.7406,129.07,ADA,Fsakshi2,C,I,d,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_47,203.28,203.00796,d,Mrajesh1,ADA
A,Fsakshi2_49,stimulus_24_A,raw_data/wav/Fsakshi2.wav,137.93788,138.28,ADHA,Fsakshi2,C,I,dʱ,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_47,317.12,316.69,d,Mnirbhay2,ADA
B,Mnirbhay2_50,stimulus_25_B,raw_data/wav/Mnirbhay2.wav,337.76,338.25,ADHA,Mnirbhay2,C,I,dʱ,OTH,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_47,181.88,181.49373,d,Fbhavya1,ADA
B,Fbhavya2_48,stimulus_26_B,raw_data/wav/Fbhavya2.wav,164.70264,165.19,ADA,Fbhavya2,C,I,d,OTH,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_50,196.32,195.88,dʱ,Mrajesh2,ADHA
B,Mnirbhay1_46,stimulus_27_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,OTH,I,C,raw_data/wav/FNiralee2.wav,FNiralee2_46,176.28,175.82,d,FNiralee2,ADA
A,Fbhavya2_51,stimulus_28_A,raw_data/wav/Fbhavya2.wav,178.52405,179.07,ADHA,Fbhavya2,C,I,dʱ,OTH,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_48,377.41,376.87997,d,Mnirbhay1,ADA
B,Mrajesh1_50,stimulus_29_B,raw_data/wav/Mrajesh1.wav,214.45848,214.73746,ADHA,Mrajesh1,C,I,dʱ,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_48,165.19,164.70264,d,Fbhavya2,ADA
B,Mnirbhay1_46,stimulus_30_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_51,217.12,216.69652,dʱ,FNiralee1,ADHA
B,Mnirbhay1_48,stimulus_31_B,raw_data/wav/Mnirbhay1.wav,376.87997,377.41,ADA,Mnirbhay1,C,I,d,OTH,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_48,149.13,148.78,d,Fsakshi1,ADA
A,Mnirbhay1_35,stimulus_32_A,raw_data/wav/Mnirbhay1.wav,278.36311,278.81684,ADRA,Mnirbhay1,C,I,ɖ,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_48,130.82,130.48874,d,Fsakshi2,ADA
B,Mrajesh1_36,stimulus_33_B,raw_data/wav/Mrajesh1.wav,158.2176,158.51,ADRA,Mrajesh1,C,I,ɖ,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_46,127.29,126.92789,d,Fsakshi2,ADA
B,Mnirbhay1_46,stimulus_34_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,OTH,I,C,raw_data/wav/FNiralee2.wav,FNiralee2_36,139.1,138.54,ɖ,FNiralee2,ADRA
B,Mnirbhay1_41,stimulus_35_B,raw_data/wav/Mnirbhay1.wav,336.53384,337.01041,ATA,Mnirbhay1,C,I,t,OTH,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_41,163.19,162.79481,t,Fbhavya1,ATA
A,Fsakshi1_34,stimulus_36_A,raw_data/wav/Fsakshi1.wav,106.32,106.73194,ADRA,Fsakshi1,C,I,ɖ,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_40,178.19,177.79,t,Mrajesh1,ATA
B,Mrajesh1_36,stimulus_37_B,raw_data/wav/Mrajesh1.wav,158.2176,158.51,ADRA,Mrajesh1,C,I,ɖ,OTH,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_40,129.81862,129.45941,t,Fsakshi1,ATA
B,Fsakshi1_42,stimulus_38_B,raw_data/wav/Fsakshi1.wav,133.54,133.9,ATA,Fsakshi1,C,I,t,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_34,231.66,231.25,ɖ,Mnirbhay2,ADRA
B,Mrajesh2_48,stimulus_39_B,raw_data/wav/Mrajesh2.wav,183.18347,183.68,ADA,Mrajesh2,C,I,d,OTH,I,C,raw_data/wav/FNiralee2.wav,FNiralee2_48,183.68,183.3034,d,FNiralee2,ADA
A,Mnirbhay2_39,stimulus_40_A,raw_data/wav/Mnirbhay2.wav,256.08874,256.6,ADRHA,Mnirbhay2,C,I,ɖʱ,OTH,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_48,183.57,183.25495,d,Fbhavya1,ADA
B,Mnirbhay2_38,stimulus_41_B,raw_data/wav/Mnirbhay2.wav,254.09,254.56,ADRHA,Mnirbhay2,C,I,ɖʱ,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_46,201.22,200.84126,d,FNiralee1,ADA
B,Fsakshi1_47,stimulus_42_B,raw_data/wav/Fsakshi1.wav,146.99549,147.34769,ADA,Fsakshi1,C,I,d,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_39,256.6,256.08874,ɖʱ,Mnirbhay2,ADRHA
B,Mrajesh2_41,stimulus_43_B,raw_data/wav/Mrajesh2.wav,158.66,159.14,ATA,Mrajesh2,C,I,t,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_41,144.97,144.49948,t,Fbhavya2,ATA
A,Mrajesh1_38,stimulus_44_A,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",FNiralee2_41,NA,NA,NA,NA,NA
B,Fsakshi2_38,stimulus_45_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",Mnirbhay2_42,NA,NA,NA,NA,NA
B,FNiralee1_40,stimulus_46_B,raw_data/wav/FNiralee1.wav,177.80607,178.19,ATA,FNiralee1,C,I,t,OTH,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_38,298.35,297.88,ɖʱ,Mnirbhay1,ADRHA
B,Mnirbhay1_19,stimulus_47_B,raw_data/wav/Mnirbhay1.wav,160.07458,160.54616,ADXA,Mnirbhay1,C,I,d͡ʒ,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_19,70.31638,69.84,d͡ʒ,Fbhavya2,ADXA
A,FNiralee1_26,stimulus_48_A,raw_data/wav/FNiralee1.wav,118.83502,119.24174,ADXHA,FNiralee1,C,I,d͡ʒʱ,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_19,95.19,94.93,d͡ʒ,Mrajesh1,ADXA
B,Mnirbhay2_26,stimulus_49_B,raw_data/wav/Mnirbhay2.wav,168.79,169.23984,ADXHA,Mnirbhay2,C,I,d͡ʒʱ,OTH,I,C,raw_data/wav/FNiralee2.wav,FNiralee2_21,77.64,77.2,d͡ʒ,FNiralee2,ADXA
B,Fbhavya2_21,stimulus_50_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",Mnirbhay1_26,NA,NA,NA,NA,NA
B,Mrajesh2_14,stimulus_51_B,raw_data/wav/Mrajesh2.wav,54.08,54.55,ATXA,Mrajesh2,C,I,t͡ʃ,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_14,43.16025,42.79,t͡ʃ,Fsakshi2,ATXA
A,Mnirbhay1_25,stimulus_52_A,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",Fbhavya2_15,NA,NA,NA,NA,NA
B,Mrajesh2_26,stimulus_53_B,raw_data/wav/Mrajesh2.wav,100.57,101.06,ADXHA,Mrajesh2,C,I,d͡ʒʱ,OTH,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_14,97.57235,97.16202,t͡ʃ,Fbhavya1,ATXA
B,FNiralee1_13,stimulus_54_B,raw_data/wav/FNiralee1.wav,70.716,71.11,ATXA,FNiralee1,C,I,t͡ʃ,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_27,171.28,170.81824,d͡ʒʱ,Mnirbhay2,ADXHA
B,Mnirbhay2_9,stimulus_55_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",FNiralee1_9,NA,NA,NA,NA,NA
A,Mnirbhay1_12,stimulus_56_A,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",Fsakshi2_7,NA,NA,NA,NA,NA
B,Mrajesh2_11,stimulus_57_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",FNiralee2_8,NA,NA,NA,NA,NA
B,Mnirbhay1_7,stimulus_58_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",Fbhavya2_12,NA,NA,NA,NA,NA
B,FNiralee2_2,stimulus_59_B,raw_data/wav/FNiralee2.wav,8.61035,9.0036,AKA,FNiralee2,C,I,k,OTH,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_2,9.0036,8.61035,k,Mrajesh2,AKA
A,Fbhavya1_10,stimulus_60_A,raw_data/wav/Fbhavya1.wav,70.14459,70.56,AGHA,Fbhavya1,C,I,ɡʱ,OTH,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_2,9.0036,8.61035,k,Mrajesh2,AKA
B,Mnirbhay2_11,stimulus_61_B,raw_data/wav/Mnirbhay2.wav,64.51549,65.00944,AGHA,Mnirbhay2,C,I,ɡʱ,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_3,35.12,34.69,k,FNiralee1,AKA
B,FNiralee2_1,stimulus_62_B,raw_data/wav/FNiralee2.wav,5.70032,6.08702,AKA,FNiralee2,C,I,k,OTH,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_10,40.64,40.11,ɡʱ,Mrajesh2,AGHA
B,FNiralee2_53,stimulus_63_B,raw_data/wav/FNiralee2.wav,208.33,208.79,ANA,FNiralee2,C,I,n,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_53,227.19,226.8,n,Mrajesh1,ANA
A,Fsakshi2_106,stimulus_64_A,raw_data/wav/Fsakshi2.wav,284.16595,284.58224,ANRA,Fsakshi2,C,I,ɳ,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_54,364.63,364.11,n,Mnirbhay2,ANA
B,Fbhavya2_107,stimulus_65_B,raw_data/wav/Fbhavya2.wav,406.98305,407.46444,ANRA,Fbhavya2,C,I,ɳ,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_53,361.78,361.27,n,Mnirbhay2,ANA
B,Mnirbhay1_52,stimulus_66_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",FNiralee2_106,NA,NA,NA,NA,NA
B,Fbhavya2_71,stimulus_67_B,"NA",NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,"NA",Mnirbhay1_71,NA,NA,NA,NA,NA
A,FNiralee2_107,stimulus_68_A,raw_data/wav/FNiralee2.wav,433.42,433.81,ANRA,FNiralee2,C,I,ɳ,OTH,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_70,541.47252,541.04764,j,Mnirbhay1,AJA
B,Mrajesh2_108,stimulus_69_B,raw_data/wav/Mrajesh2.wav,436.76,437.17,ANRA,Mrajesh2,C,I,ɳ,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_70,191.54,191.09,j,Fsakshi2,AJA
B,Fbhavya1_70,stimulus_70_B,raw_data/wav/Fbhavya1.wav,246.88,247.27077,AJA,Fbhavya1,C,I,j,OTH,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_106,905.29323,904.87257,ɽ,Mnirbhay1,ARTA
