AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id,distance_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,phone_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,phone_TGT,sex_TGT,speaker_TGT,word_TGT
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_0287426,0.304074315303874,stimuli_raw/wav/Fbhavya1.wav,68,Fbhavya1_68,HIN,443.32962,442.94,bʱ,F,Fbhavya,ABHA,0.272908005020865,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,F,Fsakshi,AKHA
TgtOth,Fbhavya,stimuli_raw/wav/Fbhavya2.wav,25.03,25.48153,Fbhavya2_6,AKHA,6,F,kʰ,ENG,t_0746610,0.326287686228705,stimuli_raw/wav/Mnirbhay2.wav,95,Mnirbhay2_95,HIN,381.08,380.64,ɣ,M,Mnirbhay,ARRA,0.278001143783542,stimuli_raw/wav/Mrajesh2.wav,4,Mrajesh2_4,ENG,19.62,19.21365,kʰ,M,Mrajesh,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_0286598,0.287485368088012,stimuli_raw/wav/Fbhavya2.wav,95,Fbhavya2_95,HIN,274.52841,274.12,ɣ,F,Fbhavya,ARRA,0.272908005020865,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,F,Fsakshi,AKHA
TgtOth,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,kʰ,ENG,t_0001778,0.239163023657443,stimuli_raw/wav/Mnirbhay2.wav,99,Mnirbhay2_99,HIN,397.41,396.95,x,M,Mnirbhay,ARHA,0.254648588569353,stimuli_raw/wav/Mrajesh1.wav,5,Mrajesh1_5,ENG,37.47,37.05,kʰ,M,Mrajesh,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,kʰ,ENG,t_0871281,0.272898615164493,stimuli_raw/wav/Fbhavya1.wav,100,Fbhavya1_100,HIN,632.9127,632.49827,x,F,Fbhavya,ARHA,0.246353832046838,stimuli_raw/wav/FNiralee1.wav,4,FNiralee1_4,ENG,64.39471,63.85806,kʰ,F,FNiralee,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_0875117,0.358439229131494,stimuli_raw/wav/Fsakshi1.wav,93,Fsakshi1_93,HIN,351.38,351.01266,ɽʱ,F,Fsakshi,ARTHA,0.240735084761318,stimuli_raw/wav/FNiralee1.wav,6,FNiralee1_6,ENG,68.55116,68.05502,kʰ,F,FNiralee,AKHA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya2.wav,22.68,23.06,Fbhavya2_5,AKHA,5,F,kʰ,ENG,t_0749957,0.334515175138965,stimuli_raw/wav/Mnirbhay1.wav,101,Mnirbhay1_101,HIN,721.00309,720.39538,ɽʱ,M,Mnirbhay,ARTHA,0.220368643363811,stimuli_raw/wav/Mrajesh2.wav,6,Mrajesh2_6,ENG,22.99,22.59172,kʰ,M,Mrajesh,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0583603,0.365677301186752,stimuli_raw/wav/Fsakshi1.wav,96,Fsakshi1_96,HIN,361.47,361.09001,ɽ,F,Fsakshi,ARTA,0.278001143783542,stimuli_raw/wav/Fbhavya2.wav,6,Fbhavya2_6,ENG,25.48153,25.03,kʰ,F,Fbhavya,AKHA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,kʰ,ENG,t_0003182,0.380992195087861,stimuli_raw/wav/Mnirbhay2.wav,105,Mnirbhay2_105,HIN,425.01,424.6,ɽ,M,Mnirbhay,ARTA,0.241437849132345,stimuli_raw/wav/Mrajesh1.wav,6,Mrajesh1_6,ENG,39.21422,38.74864,kʰ,M,Mrajesh,AKHA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,18.06,18.58,Mnirbhay2_4,AKHA,4,M,kʰ,ENG,t_0286291,0.327958323659838,stimuli_raw/wav/FNiralee2.wav,106,FNiralee2_106,HIN,405.25726,404.86421,ɳ,F,FNiralee,ANRA,0.261931962518728,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,F,Fsakshi,AKHA
