AB_Order,phone_TGT,phone_OTH,speaker_TGT,speaker_OTH,speaker_X,file_TGT,onset_TGT,offset_TGT,item_TGT,word_TGT,interval_TGT,sex_TGT,language_TGT,file_OTH,onset_OTH,offset_OTH,item_OTH,word_OTH,interval_OTH,sex_OTH,language_OTH,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id
TgtOth,kʰ,ɣ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,380.64,381.08,Mnirbhay2_95,ARRA,95,M,HIN,stimuli_raw/wav/Fbhavya2.wav,25.03,25.48153,Fbhavya2_6,AKHA,6,F,kʰ,ENG,t_0746610
OthTgt,kʰ,ɣ,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi2.wav,38.65,39.07,Fsakshi2_4,AKHA,4,F,ENG,stimuli_raw/wav/Fbhavya2.wav,274.12,274.52841,Fbhavya2_95,ARRA,95,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_0286598
TgtOth,kʰ,x,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,37.05,37.47,Mrajesh1_5,AKHA,5,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,396.95,397.41,Mnirbhay2_99,ARHA,99,M,HIN,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,kʰ,ENG,t_0001778
OthTgt,kʰ,x,FNiralee,Fbhavya,Mnirbhay,stimuli_raw/wav/FNiralee1.wav,63.85806,64.39471,FNiralee1_4,AKHA,4,F,ENG,stimuli_raw/wav/Fbhavya1.wav,632.49827,632.9127,Fbhavya1_100,ARHA,100,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,kʰ,ENG,t_0871281
TgtOth,kʰ,ɽʱ,FNiralee,Fsakshi,Mrajesh,stimuli_raw/wav/FNiralee1.wav,68.05502,68.55116,FNiralee1_6,AKHA,6,F,ENG,stimuli_raw/wav/Fsakshi1.wav,351.01266,351.38,Fsakshi1_93,ARTHA,93,F,HIN,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_0875117
OthTgt,kʰ,ɽʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh2.wav,22.59172,22.99,Mrajesh2_6,AKHA,6,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,720.3953799999998,721.00309,Mnirbhay1_101,ARTHA,101,M,HIN,stimuli_raw/wav/Fbhavya2.wav,22.68,23.06,Fbhavya2_5,AKHA,5,F,kʰ,ENG,t_0749957
TgtOth,kʰ,ɽ,Fbhavya,Fsakshi,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,25.03,25.48153,Fbhavya2_6,AKHA,6,F,ENG,stimuli_raw/wav/Fsakshi1.wav,361.09001,361.47,Fsakshi1_96,ARTA,96,F,HIN,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0583603
OthTgt,kʰ,ɽ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,424.6,425.01,Mnirbhay2_105,ARTA,105,M,HIN,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,kʰ,ENG,t_0003182
TgtOth,kʰ,ɳ,Fsakshi,FNiralee,Mnirbhay,stimuli_raw/wav/Fsakshi2.wav,38.65,39.07,Fsakshi2_4,AKHA,4,F,ENG,stimuli_raw/wav/FNiralee2.wav,404.86421,405.25726,FNiralee2_106,ANRA,106,F,HIN,stimuli_raw/wav/Mnirbhay2.wav,18.06,18.58,Mnirbhay2_4,AKHA,4,M,kʰ,ENG,t_0286291
OthTgt,kʰ,ɳ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh2.wav,22.59172,22.99,Mrajesh2_6,AKHA,6,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,763.84005,764.31886,Mnirbhay1_108,ANRA,108,M,HIN,stimuli_raw/wav/Fbhavya1.wav,38.87,39.26,Fbhavya1_4,AKHA,4,F,kʰ,ENG,t_0750088
TgtOth,g,ɡʱ,Fbhavya,FNiralee,Mnirbhay,stimuli_raw/wav/Fbhavya2.wav,31.39,31.77,Fbhavya2_8,AGA,8,F,ENG,stimuli_raw/wav/FNiralee1.wav,108.19187,108.69767,FNiralee1_12,AGHA,12,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_0586212
OthTgt,g,ɡʱ,FNiralee,Fbhavya,Mrajesh,stimuli_raw/wav/FNiralee1.wav,90.87186,91.33874,FNiralee1_9,AGA,9,F,ENG,stimuli_raw/wav/Fbhavya2.wav,39.61802,39.98945,Fbhavya2_11,AGHA,11,F,HIN,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,g,ENG,t_0879023
TgtOth,g,d͡ʒʱ,Fbhavya,Fsakshi,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,33.5,33.89,Fbhavya2_9,AGA,9,F,ENG,stimuli_raw/wav/Fsakshi1.wav,99.57696,99.94,Fsakshi1_25,ADXHA,25,F,HIN,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_0588325
OthTgt,g,d͡ʒʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,168.79,169.23984,Mnirbhay1_26,ADXHA,26,M,HIN,stimuli_raw/wav/Fbhavya2.wav,29.04,29.4414,Fbhavya2_7,AGA,7,F,g,ENG,t_0004615
TgtOth,g,ʈʰ,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi1.wav,45.49,45.92,Fsakshi1_8,AGA,8,F,ENG,stimuli_raw/wav/Fbhavya2.wav,102.11446,102.51782,Fbhavya2_33,ATRHA,33,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_1338867
OthTgt,g,ʈʰ,Mrajesh,Mnirbhay,FNiralee,stimuli_raw/wav/Mrajesh2.wav,26.89984,27.3,Mrajesh2_7,AGA,7,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,123.11,123.68,Mnirbhay2_32,ATRHA,32,M,HIN,stimuli_raw/wav/FNiralee2.wav,28.74,29.3642,FNiralee2_8,AGA,8,F,g,ENG,t_0750221
TgtOth,g,ɖ,FNiralee,Fbhavya,Mnirbhay,stimuli_raw/wav/FNiralee1.wav,90.87186,91.33874,FNiralee1_9,AGA,9,F,ENG,stimuli_raw/wav/Fbhavya1.wav,247.88,248.26,Fbhavya1_36,ADRA,36,F,HIN,stimuli_raw/wav/Mnirbhay2.wav,28.49,28.97,Mnirbhay2_7,AGA,7,M,g,ENG,t_0879577
OthTgt,g,ɖ,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi1.wav,45.49,45.92,Fsakshi1_8,AGA,8,F,ENG,stimuli_raw/wav/Fbhavya2.wav,108.32,108.66723,Fbhavya2_35,ADRA,35,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_1338891
TgtOth,g,ɖʱ,Fbhavya,FNiralee,Mnirbhay,stimuli_raw/wav/Fbhavya1.wav,60.24,60.69581,Fbhavya1_9,AGA,9,F,ENG,stimuli_raw/wav/FNiralee2.wav,134.74537,135.24376,FNiralee2_38,ADRHA,38,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,46.7,47.11,Mnirbhay1_8,AGA,8,M,g,ENG,t_1172441
OthTgt,g,ɖʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh2.wav,26.89984,27.3,Mrajesh2_7,AGA,7,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,254.09,254.56,Mnirbhay1_38,ADRHA,38,M,HIN,stimuli_raw/wav/Fbhavya1.wav,60.24,60.69581,Fbhavya1_9,AGA,9,F,g,ENG,t_0750990
TgtOth,g,dʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,46.7,47.11,Mnirbhay1_8,AGA,8,M,ENG,stimuli_raw/wav/Mrajesh1.wav,190.81563,191.2513,Mrajesh1_49,ADHA,49,M,HIN,stimuli_raw/wav/FNiralee1.wav,86.82,87.28907,FNiralee1_7,AGA,7,F,g,ENG,t_1045573
OthTgt,g,dʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,192.53074,192.9594,Mnirbhay2_49,ADHA,49,M,HIN,stimuli_raw/wav/Fbhavya2.wav,33.5,33.89,Fbhavya2_9,AGA,9,F,g,ENG,t_0004167
TgtOth,g,bʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.63011,Mrajesh1_9,AGA,9,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,259.73,260.19,Mnirbhay2_66,ABHA,66,M,HIN,stimuli_raw/wav/Fbhavya1.wav,60.24,60.69581,Fbhavya1_9,AGA,9,F,g,ENG,t_0006855
OthTgt,g,bʱ,Fbhavya,Fsakshi,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,58.22,58.61,Fbhavya1_8,AGA,8,F,ENG,stimuli_raw/wav/Fsakshi2.wav,270.07,270.46,Fsakshi2_64,ABHA,64,F,HIN,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_1171231
TgtOth,g,ɣ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,384.3,384.78,Mnirbhay2_96,ARRA,96,M,HIN,stimuli_raw/wav/Fbhavya2.wav,31.39,31.77,Fbhavya2_8,AGA,8,F,g,ENG,t_0004310
OthTgt,g,ɣ,Fsakshi,FNiralee,Mrajesh,stimuli_raw/wav/Fsakshi2.wav,54.52,55.01,Fsakshi2_9,AGA,9,F,ENG,stimuli_raw/wav/FNiralee1.wav,772.46145,773.0997,FNiralee1_96,ARRA,96,F,HIN,stimuli_raw/wav/Mrajesh2.wav,28.58212,28.97,Mrajesh2_8,AGA,8,M,g,ENG,t_0295583
TgtOth,g,x,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,31.39,31.77,Fbhavya2_8,AGA,8,F,ENG,stimuli_raw/wav/FNiralee1.wav,837.45387,837.96248,FNiralee1_100,ARHA,100,F,HIN,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.63011,Mrajesh1_9,AGA,9,M,g,ENG,t_0586467
OthTgt,g,x,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi2.wav,52.38,52.78,Fsakshi2_8,AGA,8,F,ENG,stimuli_raw/wav/Fbhavya1.wav,632.49827,632.9127,Fbhavya1_100,ARHA,100,F,HIN,stimuli_raw/wav/Mnirbhay2.wav,28.49,28.97,Mnirbhay2_7,AGA,7,M,g,ENG,t_0294343
TgtOth,g,ɽʱ,FNiralee,Fsakshi,Mnirbhay,stimuli_raw/wav/FNiralee2.wav,26.4,26.96,FNiralee2_7,AGA,7,F,ENG,stimuli_raw/wav/Fsakshi1.wav,346.82911,347.25,Fsakshi1_91,ARTHA,91,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,44.81,45.27,Mnirbhay1_7,AGA,7,M,g,ENG,t_0130870
OthTgt,g,ɽʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,720.3953799999998,721.00309,Mnirbhay1_101,ARTHA,101,M,HIN,stimuli_raw/wav/Fbhavya1.wav,60.24,60.69581,Fbhavya1_9,AGA,9,F,g,ENG,t_0006351
TgtOth,g,ɽ,Fsakshi,FNiralee,Mrajesh,stimuli_raw/wav/Fsakshi2.wav,54.52,55.01,Fsakshi2_9,AGA,9,F,ENG,stimuli_raw/wav/FNiralee2.wav,401.4192,401.84287,FNiralee2_105,ARTA,105,F,HIN,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,g,ENG,t_0294857
OthTgt,g,ɽ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,417.44,417.87,Mnirbhay2_103,ARTA,103,M,HIN,stimuli_raw/wav/Fbhavya1.wav,56.22,56.618730000000006,Fbhavya1_7,AGA,7,F,g,ENG,t_0004441
TgtOth,g,ɳ,FNiralee,Fsakshi,Mnirbhay,stimuli_raw/wav/FNiralee1.wav,86.82,87.28907,FNiralee1_7,AGA,7,F,ENG,stimuli_raw/wav/Fsakshi2.wav,437.80022,438.15,Fsakshi2_108,ANRA,108,F,HIN,stimuli_raw/wav/Mnirbhay2.wav,34.74,35.22,Mnirbhay2_9,AGA,9,M,g,ENG,t_0875619
OthTgt,g,ɳ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh2.wav,28.58212,28.97,Mrajesh2_8,AGA,8,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,763.84005,764.31886,Mnirbhay1_108,ANRA,108,M,HIN,stimuli_raw/wav/Fbhavya1.wav,56.22,56.618730000000006,Fbhavya1_7,AGA,7,F,g,ENG,t_0752680
TgtOth,ɡʱ,kʰ,FNiralee,Fsakshi,Mnirbhay,stimuli_raw/wav/FNiralee1.wav,108.19187,108.69767,FNiralee1_12,AGHA,12,F,HIN,stimuli_raw/wav/Fsakshi1.wav,39.43,39.94,Fsakshi1_6,AKHA,6,F,ENG,stimuli_raw/wav/Mnirbhay1.wav,66.42,66.86,Mnirbhay1_12,AGHA,12,M,ɡʱ,HIN,t_0886713
