#file onset offset #item word interval
stimuli_raw/wav/Mrajesh1.wav 234.08174 234.52000 Mrajesh1_66 ABHA 66
stimuli_raw/wav/Mrajesh1.wav 238.80000 239.16000 Mrajesh1_67 AMA 67
stimuli_raw/wav/Mrajesh1.wav 240.72000 241.05000 Mrajesh1_68 AMA 68
stimuli_raw/wav/Mrajesh1.wav 242.61000 242.91000 Mrajesh1_69 AMA 69
stimuli_raw/wav/Mrajesh1.wav 246.88000 247.27077 Mrajesh1_70 AJA 70
stimuli_raw/wav/Mrajesh1.wav 248.71640 249.08499 Mrajesh1_71 AJA 71
stimuli_raw/wav/Mrajesh1.wav 250.59000 250.91000 Mrajesh1_72 AJA 72
stimuli_raw/wav/Mrajesh1.wav 254.44351 254.83000 Mrajesh1_73 ARA 73
stimuli_raw/wav/Mrajesh1.wav 256.26000 256.69000 Mrajesh1_74 ARA 74
stimuli_raw/wav/Mrajesh1.wav 258.25719 258.60000 Mrajesh1_75 ARA 75
stimuli_raw/wav/Mrajesh1.wav 263.88766 264.25548 Mrajesh1_76 ALA 76
stimuli_raw/wav/Mrajesh1.wav 265.60000 266.02283 Mrajesh1_77 ALA 77
stimuli_raw/wav/Mrajesh1.wav 267.46272 267.83000 Mrajesh1_78 ALA 78
stimuli_raw/wav/Mrajesh1.wav 271.46081 271.85000 Mrajesh1_79 AVLA 79
stimuli_raw/wav/Mrajesh1.wav 273.31766 273.69000 Mrajesh1_80 AVLA 80
stimuli_raw/wav/Mrajesh1.wav 275.23441 275.60000 Mrajesh1_81 AVLA 81
stimuli_raw/wav/Mrajesh1.wav 281.56431 281.96000 Mrajesh1_82 AXA 82
stimuli_raw/wav/Mrajesh1.wav 283.33177 283.76000 Mrajesh1_83 AXA 83
stimuli_raw/wav/Mrajesh1.wav 285.24808 285.64000 Mrajesh1_84 AXA 84
stimuli_raw/wav/Mrajesh1.wav 289.55329 289.97000 Mrajesh1_85 AXRA 85
stimuli_raw/wav/Mrajesh1.wav 291.35143 291.73000 Mrajesh1_86 AXRA 86
stimuli_raw/wav/Mrajesh1.wav 293.05803 293.45000 Mrajesh1_87 AXRA 87
stimuli_raw/wav/Mrajesh1.wav 297.06056 297.46000 Mrajesh1_88 ASA 88
stimuli_raw/wav/Mrajesh1.wav 298.82232 299.19000 Mrajesh1_89 ASA 89
stimuli_raw/wav/Mrajesh1.wav 300.57555 300.96000 Mrajesh1_90 ASA 90
stimuli_raw/wav/Mrajesh1.wav 304.36526 304.73000 Mrajesh1_91 AHHA 91
stimuli_raw/wav/Mrajesh1.wav 306.15000 306.58000 Mrajesh1_92 AHHA 92
stimuli_raw/wav/Mrajesh1.wav 308.05748 308.45133 Mrajesh1_93 AHHA 93
stimuli_raw/wav/Mrajesh1.wav 311.41191 311.78442 Mrajesh1_94 ARRA 94
stimuli_raw/wav/Mrajesh1.wav 313.17125 313.61104 Mrajesh1_95 ARRA 95
stimuli_raw/wav/Mrajesh1.wav 315.02057 315.40385 Mrajesh1_96 ARRA 96
stimuli_raw/wav/Mrajesh1.wav 318.31994 318.79351 Mrajesh1_97 ARHA 97
stimuli_raw/wav/Mrajesh1.wav 319.99435 320.51866 Mrajesh1_98 ARHA 98
stimuli_raw/wav/Mrajesh1.wav 321.78171 322.24380 Mrajesh1_99 ARHA 99
stimuli_raw/wav/Mrajesh1.wav 326.93403 327.33848 Mrajesh1_100 ARTHA 100
stimuli_raw/wav/Mrajesh1.wav 328.69154 329.16511 Mrajesh1_101 ARTHA 101
stimuli_raw/wav/Mrajesh1.wav 330.60577 331.02557 Mrajesh1_102 ARTHA 102
stimuli_raw/wav/Mrajesh1.wav 336.57115 336.99044 Mrajesh1_103 ARTA 103
stimuli_raw/wav/Mrajesh1.wav 338.33398 338.69898 Mrajesh1_104 ARTA 104
stimuli_raw/wav/Mrajesh1.wav 340.15351 340.55943 Mrajesh1_105 ARTA 105
stimuli_raw/wav/Mrajesh1.wav 344.12769 344.54976 Mrajesh1_106 ANRA 106
stimuli_raw/wav/Mrajesh1.wav 345.91035 346.34256 Mrajesh1_107 ANRA 107
stimuli_raw/wav/Mrajesh1.wav 347.74609 348.08462 Mrajesh1_108 ANRA 108
stimuli_raw/wav/FNiralee2.wav 8.39000 8.93000 FNiralee2_1 AKA 1
stimuli_raw/wav/FNiralee2.wav 10.70000 11.28000 FNiralee2_2 AKA 2
stimuli_raw/wav/FNiralee2.wav 13.05743 13.55000 FNiralee2_3 AKA 3
stimuli_raw/wav/FNiralee2.wav 17.15000 17.81000 FNiralee2_4 AKHA 4
stimuli_raw/wav/FNiralee2.wav 19.69967 20.28724 FNiralee2_5 AKHA 5
stimuli_raw/wav/FNiralee2.wav 22.24580 22.80000 FNiralee2_6 AKHA 6
stimuli_raw/wav/FNiralee2.wav 26.40000 26.96000 FNiralee2_7 AGA 7
stimuli_raw/wav/FNiralee2.wav 28.74000 29.36420 FNiralee2_8 AGA 8
stimuli_raw/wav/FNiralee2.wav 31.15088 31.74054 FNiralee2_9 AGA 9
stimuli_raw/wav/FNiralee2.wav 42.97959 43.52451 FNiralee2_10 AGHA 10
stimuli_raw/wav/FNiralee2.wav 45.51187 46.10166 FNiralee2_11 AGHA 11
stimuli_raw/wav/FNiralee2.wav 48.25000 48.88396 FNiralee2_12 AGHA 12
stimuli_raw/wav/FNiralee2.wav 52.19000 52.68777 FNiralee2_13 ATXA 13
stimuli_raw/wav/FNiralee2.wav 54.51000 55.01000 FNiralee2_14 ATXA 14
stimuli_raw/wav/FNiralee2.wav 56.88000 57.38137 FNiralee2_15 ATXA 15
stimuli_raw/wav/FNiralee2.wav 61.12000 61.65602 FNiralee2_16 ATXHA 16
stimuli_raw/wav/FNiralee2.wav 63.48000 64.01050 FNiralee2_17 ATXHA 17
stimuli_raw/wav/FNiralee2.wav 65.87000 66.37063 FNiralee2_18 ATXHA 18
stimuli_raw/wav/FNiralee2.wav 69.84000 70.31638 FNiralee2_19 ADXA 19
stimuli_raw/wav/FNiralee2.wav 72.15000 72.69619 FNiralee2_20 ADXA 20
stimuli_raw/wav/FNiralee2.wav 74.57000 75.07600 FNiralee2_21 ADXA 21
stimuli_raw/wav/FNiralee2.wav 78.70000 79.23749 FNiralee2_22 AZA 22
stimuli_raw/wav/FNiralee2.wav 81.11000 81.65612 FNiralee2_23 AZA 23
stimuli_raw/wav/FNiralee2.wav 83.33000 83.89451 FNiralee2_24 AZA 24
stimuli_raw/wav/FNiralee2.wav 93.50000 94.09103 FNiralee2_25 ADXHA 25
stimuli_raw/wav/FNiralee2.wav 95.94000 96.49000 FNiralee2_26 ADXHA 26
stimuli_raw/wav/FNiralee2.wav 98.26682 98.82000 FNiralee2_27 ADXHA 27
stimuli_raw/wav/FNiralee2.wav 102.25533 102.75826 FNiralee2_28 ATRA 28
stimuli_raw/wav/FNiralee2.wav 104.50000 105.01000 FNiralee2_29 ATRA 29
stimuli_raw/wav/FNiralee2.wav 106.86548 107.36000 FNiralee2_30 ATRA 30
stimuli_raw/wav/FNiralee2.wav 114.90941 115.43000 FNiralee2_31 ATRHA 31
stimuli_raw/wav/FNiralee2.wav 117.36769 117.90000 FNiralee2_32 ATRHA 32
stimuli_raw/wav/FNiralee2.wav 119.82004 120.37226 FNiralee2_33 ATRHA 33
