#file,onset,offset,#item,word,interval,speaker,sex,phone,language
stimuli_raw/wav/Mrajesh1.wav,183.254950,183.570000,Mrajesh1_48,ADA,48,Mrajesh,M,d,ENG
stimuli_raw/wav/Mrajesh1.wav,190.815630,191.251300,Mrajesh1_49,ADHA,49,Mrajesh,M,dʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,192.645450,193.080000,Mrajesh1_50,ADHA,50,Mrajesh,M,dʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,194.507380,194.906370,Mrajesh1_51,ADHA,51,Mrajesh,M,dʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,198.673580,199.020000,Mrajesh1_52,ABA,52,Mrajesh,M,b,ENG
stimuli_raw/wav/Mrajesh1.wav,200.470000,200.860000,Mrajesh1_53,ANA,53,Mrajesh,M,n,ENG
stimuli_raw/wav/Mrajesh1.wav,202.370830,202.710000,Mrajesh1_54,ANA,54,Mrajesh,M,n,ENG
stimuli_raw/wav/Mrajesh1.wav,205.833980,206.276320,Mrajesh1_55,APA,55,Mrajesh,M,p,NA
stimuli_raw/wav/Mrajesh1.wav,207.727760,208.090000,Mrajesh1_56,APA,56,Mrajesh,M,p,NA
stimuli_raw/wav/Mrajesh1.wav,209.575460,209.910000,Mrajesh1_57,APA,57,Mrajesh,M,p,NA
stimuli_raw/wav/Mrajesh1.wav,213.730020,214.130000,Mrajesh1_58,APHA,58,Mrajesh,M,pʰ,NA
stimuli_raw/wav/Mrajesh1.wav,215.599560,216.030000,Mrajesh1_59,APHA,59,Mrajesh,M,pʰ,NA
stimuli_raw/wav/Mrajesh1.wav,217.544820,217.970000,Mrajesh1_60,APHA,60,Mrajesh,M,pʰ,NA
stimuli_raw/wav/Mrajesh1.wav,222.020000,222.410000,Mrajesh1_61,ABA,61,Mrajesh,M,b,ENG
stimuli_raw/wav/Mrajesh1.wav,223.870000,224.250000,Mrajesh1_62,ABA,62,Mrajesh,M,b,ENG
stimuli_raw/wav/Mrajesh1.wav,225.770000,226.190000,Mrajesh1_63,ABA,63,Mrajesh,M,b,ENG
stimuli_raw/wav/Mrajesh1.wav,230.391510,230.760000,Mrajesh1_64,ABHA,64,Mrajesh,M,bʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,232.250190,232.680000,Mrajesh1_65,ABHA,65,Mrajesh,M,bʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,234.081740,234.520000,Mrajesh1_66,ABHA,66,Mrajesh,M,bʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,238.800000,239.160000,Mrajesh1_67,AMA,67,Mrajesh,M,m,ENG
stimuli_raw/wav/Mrajesh1.wav,240.720000,241.050000,Mrajesh1_68,AMA,68,Mrajesh,M,m,ENG
stimuli_raw/wav/Mrajesh1.wav,242.610000,242.910000,Mrajesh1_69,AMA,69,Mrajesh,M,m,ENG
stimuli_raw/wav/Mrajesh1.wav,246.880000,247.270770,Mrajesh1_70,AJA,70,Mrajesh,M,j,ENG
stimuli_raw/wav/Mrajesh1.wav,248.716400,249.084990,Mrajesh1_71,AJA,71,Mrajesh,M,j,ENG
stimuli_raw/wav/Mrajesh1.wav,250.590000,250.910000,Mrajesh1_72,AJA,72,Mrajesh,M,j,ENG
stimuli_raw/wav/Mrajesh1.wav,254.443510,254.830000,Mrajesh1_73,ARA,73,Mrajesh,M,ɾ,ENG
stimuli_raw/wav/Mrajesh1.wav,256.260000,256.690000,Mrajesh1_74,ARA,74,Mrajesh,M,ɾ,ENG
stimuli_raw/wav/Mrajesh1.wav,258.257190,258.600000,Mrajesh1_75,ARA,75,Mrajesh,M,ɾ,ENG
stimuli_raw/wav/Mrajesh1.wav,263.887660,264.255480,Mrajesh1_76,ALA,76,Mrajesh,M,l,ENG
stimuli_raw/wav/Mrajesh1.wav,265.600000,266.022830,Mrajesh1_77,ALA,77,Mrajesh,M,l,ENG
stimuli_raw/wav/Mrajesh1.wav,267.462720,267.830000,Mrajesh1_78,ALA,78,Mrajesh,M,l,ENG
stimuli_raw/wav/Mrajesh1.wav,271.460810,271.850000,Mrajesh1_79,AVLA,79,Mrajesh,M,ʋ,NA
stimuli_raw/wav/Mrajesh1.wav,273.317660,273.690000,Mrajesh1_80,AVLA,80,Mrajesh,M,ʋ,NA
stimuli_raw/wav/Mrajesh1.wav,275.234410,275.600000,Mrajesh1_81,AVLA,81,Mrajesh,M,ʋ,NA
stimuli_raw/wav/Mrajesh1.wav,281.564310,281.960000,Mrajesh1_82,AXA,82,Mrajesh,M,ʃ,ENG
stimuli_raw/wav/Mrajesh1.wav,283.331770,283.760000,Mrajesh1_83,AXA,83,Mrajesh,M,ʃ,ENG
stimuli_raw/wav/Mrajesh1.wav,285.248080,285.640000,Mrajesh1_84,AXA,84,Mrajesh,M,ʃ,ENG
stimuli_raw/wav/Mrajesh1.wav,289.553290,289.970000,Mrajesh1_85,AXRA,85,Mrajesh,M,ʂ,NA
stimuli_raw/wav/Mrajesh1.wav,291.351430,291.730000,Mrajesh1_86,AXRA,86,Mrajesh,M,ʂ,NA
stimuli_raw/wav/Mrajesh1.wav,293.058030,293.450000,Mrajesh1_87,AXRA,87,Mrajesh,M,ʂ,NA
stimuli_raw/wav/Mrajesh1.wav,297.060560,297.460000,Mrajesh1_88,ASA,88,Mrajesh,M,s,ENG
stimuli_raw/wav/Mrajesh1.wav,298.822320,299.190000,Mrajesh1_89,ASA,89,Mrajesh,M,s,ENG
stimuli_raw/wav/Mrajesh1.wav,300.575550,300.960000,Mrajesh1_90,ASA,90,Mrajesh,M,s,ENG
stimuli_raw/wav/Mrajesh1.wav,304.365260,304.730000,Mrajesh1_91,AHHA,91,Mrajesh,M,ɦ,ENG
stimuli_raw/wav/Mrajesh1.wav,306.150000,306.580000,Mrajesh1_92,AHHA,92,Mrajesh,M,ɦ,ENG
stimuli_raw/wav/Mrajesh1.wav,308.057480,308.451330,Mrajesh1_93,AHHA,93,Mrajesh,M,ɦ,ENG
stimuli_raw/wav/Mrajesh1.wav,311.411910,311.784420,Mrajesh1_94,ARRA,94,Mrajesh,M,ɣ,HIN
stimuli_raw/wav/Mrajesh1.wav,313.171250,313.611040,Mrajesh1_95,ARRA,95,Mrajesh,M,ɣ,HIN
stimuli_raw/wav/Mrajesh1.wav,315.020570,315.403850,Mrajesh1_96,ARRA,96,Mrajesh,M,ɣ,HIN
stimuli_raw/wav/Mrajesh1.wav,318.319940,318.793510,Mrajesh1_97,ARHA,97,Mrajesh,M,x,HIN
stimuli_raw/wav/Mrajesh1.wav,319.994350,320.518660,Mrajesh1_98,ARHA,98,Mrajesh,M,x,HIN
stimuli_raw/wav/Mrajesh1.wav,321.781710,322.243800,Mrajesh1_99,ARHA,99,Mrajesh,M,x,HIN
stimuli_raw/wav/Mrajesh1.wav,326.934030,327.338480,Mrajesh1_100,ARTHA,100,Mrajesh,M,ɽʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,328.691540,329.165110,Mrajesh1_101,ARTHA,101,Mrajesh,M,ɽʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,330.605770,331.025570,Mrajesh1_102,ARTHA,102,Mrajesh,M,ɽʱ,HIN
stimuli_raw/wav/Mrajesh1.wav,336.571150,336.990440,Mrajesh1_103,ARTA,103,Mrajesh,M,ɽ,HIN
stimuli_raw/wav/Mrajesh1.wav,338.333980,338.698980,Mrajesh1_104,ARTA,104,Mrajesh,M,ɽ,HIN
stimuli_raw/wav/Mrajesh1.wav,340.153510,340.559430,Mrajesh1_105,ARTA,105,Mrajesh,M,ɽ,HIN
stimuli_raw/wav/Mrajesh1.wav,344.127690,344.549760,Mrajesh1_106,ANRA,106,Mrajesh,M,ɳ,HIN
stimuli_raw/wav/Mrajesh1.wav,345.910350,346.342560,Mrajesh1_107,ANRA,107,Mrajesh,M,ɳ,HIN
stimuli_raw/wav/Mrajesh1.wav,347.746090,348.084620,Mrajesh1_108,ANRA,108,Mrajesh,M,ɳ,HIN
stimuli_raw/wav/FNiralee2.wav,8.390000,8.930000,FNiralee2_1,AKA,1,FNiralee,F,k,NA
stimuli_raw/wav/FNiralee2.wav,10.700000,11.280000,FNiralee2_2,AKA,2,FNiralee,F,k,NA
stimuli_raw/wav/FNiralee2.wav,13.057430,13.550000,FNiralee2_3,AKA,3,FNiralee,F,k,NA
stimuli_raw/wav/FNiralee2.wav,17.150000,17.810000,FNiralee2_4,AKHA,4,FNiralee,F,kʰ,ENG
stimuli_raw/wav/FNiralee2.wav,19.699670,20.287240,FNiralee2_5,AKHA,5,FNiralee,F,kʰ,ENG
stimuli_raw/wav/FNiralee2.wav,22.245800,22.800000,FNiralee2_6,AKHA,6,FNiralee,F,kʰ,ENG
stimuli_raw/wav/FNiralee2.wav,26.400000,26.960000,FNiralee2_7,AGA,7,FNiralee,F,g,ENG
stimuli_raw/wav/FNiralee2.wav,28.740000,29.364200,FNiralee2_8,AGA,8,FNiralee,F,g,ENG
stimuli_raw/wav/FNiralee2.wav,31.150880,31.740540,FNiralee2_9,AGA,9,FNiralee,F,g,ENG
stimuli_raw/wav/FNiralee2.wav,42.979590,43.524510,FNiralee2_10,AGHA,10,FNiralee,F,ɡʱ,HIN
stimuli_raw/wav/FNiralee2.wav,45.511870,46.101660,FNiralee2_11,AGHA,11,FNiralee,F,ɡʱ,HIN
stimuli_raw/wav/FNiralee2.wav,48.250000,48.883960,FNiralee2_12,AGHA,12,FNiralee,F,ɡʱ,HIN
stimuli_raw/wav/FNiralee2.wav,52.190000,52.687770,FNiralee2_13,ATXA,13,FNiralee,F,t͡ʃ,NA
stimuli_raw/wav/FNiralee2.wav,54.510000,55.010000,FNiralee2_14,ATXA,14,FNiralee,F,t͡ʃ,NA
stimuli_raw/wav/FNiralee2.wav,56.880000,57.381370,FNiralee2_15,ATXA,15,FNiralee,F,t͡ʃ,NA
stimuli_raw/wav/FNiralee2.wav,61.120000,61.656020,FNiralee2_16,ATXHA,16,FNiralee,F,t͡ʃʰ,ENG
stimuli_raw/wav/FNiralee2.wav,63.480000,64.010500,FNiralee2_17,ATXHA,17,FNiralee,F,t͡ʃʰ,ENG
stimuli_raw/wav/FNiralee2.wav,65.870000,66.370630,FNiralee2_18,ATXHA,18,FNiralee,F,t͡ʃʰ,ENG
stimuli_raw/wav/FNiralee2.wav,69.840000,70.316380,FNiralee2_19,ADXA,19,FNiralee,F,d͡ʒ,ENG
stimuli_raw/wav/FNiralee2.wav,72.150000,72.696190,FNiralee2_20,ADXA,20,FNiralee,F,d͡ʒ,ENG
stimuli_raw/wav/FNiralee2.wav,74.570000,75.076000,FNiralee2_21,ADXA,21,FNiralee,F,d͡ʒ,ENG
stimuli_raw/wav/FNiralee2.wav,78.700000,79.237490,FNiralee2_22,AZA,22,FNiralee,F,z,ENG
stimuli_raw/wav/FNiralee2.wav,81.110000,81.656120,FNiralee2_23,AZA,23,FNiralee,F,z,ENG
