m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,9947.939126801444
Econ+Glob,-1,-1,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,2087.725183465751
Econ+Loc,-1,-1,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,5169.933046081802
Glob+Loc,-1,-1,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,8285.09638764779
Econ,-1,-1,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,9754.29215032421
Glob,-1,-1,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,3852.988163828617
Loc,-1,-1,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,4754.109284430277
,-1,-1,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,2062.7078348689247
Econ+Glob+Loc,0,-1,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,6145.354668408632
Econ+Glob,0,-1,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,5426.6127178738825
Econ+Loc,0,-1,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,9815.50003868877
Glob+Loc,0,-1,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,3312.5519762532786
Econ,0,-1,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,4187.022688434226
Glob,0,-1,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,6211.6936100479215
Loc,0,-1,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,5110.7113932913635
,0,-1,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,8593.695006287191
Econ+Glob+Loc,1,-1,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,3480.7825141157955
Econ+Glob,1,-1,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,2062.981981832534
Econ+Loc,1,-1,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,9925.988300461788
Glob+Loc,1,-1,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,4377.552991292672
Econ,1,-1,-1,dinst5,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,9095.623655135045
Glob,1,-1,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,2939.973113060696
Loc,1,-1,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,3643.1698619402014
,1,-1,-1,dinst5,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,4589.994603769388
Econ+Glob+Loc,-1,0,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,4751.154633094091
Econ+Glob,-1,0,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,3595.2270645974204
Econ+Loc,-1,0,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,6801.751503871521
Glob+Loc,-1,0,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,4396.0034704990685
Econ,-1,0,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,4655.677622310584
Glob,-1,0,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,2556.3783061008435
Loc,-1,0,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,697.5871709787752
,-1,0,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,8991.632094613975
Econ+Glob+Loc,0,0,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,65.01957735675387
Econ+Glob,0,0,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,7435.6725347246975
Econ+Loc,0,0,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,8512.479087631684
Glob+Loc,0,0,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,5937.644183410332
Econ,0,0,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,401.0733566044364
Glob,0,0,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,2541.554153074743
Loc,0,0,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,7219.81783131347
,0,0,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,4695.4790158814285
Econ+Glob+Loc,1,0,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,593.9781059669331
Econ+Glob,1,0,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,5547.956218821229
Econ+Loc,1,0,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,4519.650630544405
Glob+Loc,1,0,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,5299.727396016708
Econ,1,0,-1,dinst5,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,5984.0763869131915
Glob,1,0,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,2938.9563967555296
Loc,1,0,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,3056.574262886774
,1,0,-1,dinst5,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,651.4080942629371
Econ+Glob+Loc,-1,1,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,983.003226095112
Econ+Glob,-1,1,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,9127.60744039528
Econ+Loc,-1,1,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,3138.509330463363
Glob+Loc,-1,1,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,4145.707860773662
Econ,-1,1,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,3197.131553189829
Glob,-1,1,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,1579.418343952857
Loc,-1,1,-1,dinst5,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,9381.435904145706
,-1,1,-1,dinst5,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,9971.251175450394
Econ+Glob+Loc,0,1,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,2832.441916836193
Econ+Glob,0,1,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,3849.7945566894487
Econ+Loc,0,1,-1,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,8415.476385450922
Glob+Loc,0,1,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,3118.8602728259284
Econ,0,1,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,8628.543409293052
Glob,0,1,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,3701.404418505961
Loc,0,1,-1,dinst5,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,2504.1279486634303
,0,1,-1,dinst5,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,2868.5870731370524
Econ+Glob+Loc,1,1,-1,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,7357.2393508099485
Econ+Glob,1,1,-1,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,4318.431364184711
Econ+Loc,1,1,-1,dinst5,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,5566.789135335013
Glob+Loc,1,1,-1,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,6252.189682158176
Econ,1,1,-1,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,5788.491112225456
Glob,1,1,-1,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,9362.538923702436
Loc,1,1,-1,dinst5,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,5149.753532217117
,1,1,-1,dinst5,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,1469.1570064984262
Econ+Glob+Loc,-1,-1,0,dinst5,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,4197.596484462265
Econ+Glob,-1,-1,0,dinst5,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,6078.57553461194
Econ+Loc,-1,-1,0,dinst5,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,5808.9506444553845
Glob+Loc,-1,-1,0,dinst5,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,226.49058609758504
Econ,-1,-1,0,dinst5,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,2354.0989816896617
Glob,-1,-1,0,dinst5,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,4109.149031401845
