m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst6,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,2142.9586785479914
Econ+Glob,-1,-1,-1,dinst6,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,6871.777110702824
Econ+Loc,-1,-1,-1,dinst6,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,6318.989223848097
Glob+Loc,-1,-1,-1,dinst6,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,4481.343680966878
Econ,-1,-1,-1,dinst6,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,6870.4249096787535
Glob,-1,-1,-1,dinst6,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,4449.565925564617
Loc,-1,-1,-1,dinst6,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,7857.2502001354005
,-1,-1,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,5297.593418563483
Econ+Glob+Loc,0,-1,-1,dinst6,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,1920.0518746769521
Econ+Glob,0,-1,-1,dinst6,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,7951.036054018186
Econ+Loc,0,-1,-1,dinst6,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,641.2611225936562
Glob+Loc,0,-1,-1,dinst6,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,6781.40341186896
Econ,0,-1,-1,dinst6,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,2027.9226204368751
Glob,0,-1,-1,dinst6,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,2626.8063297672197
Loc,0,-1,-1,dinst6,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,2031.640840338543
,0,-1,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,2448.829556201352
Econ+Glob+Loc,1,-1,-1,dinst6,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,4604.339646231616
Econ+Glob,1,-1,-1,dinst6,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,513.1264423639514
Econ+Loc,1,-1,-1,dinst6,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,1756.4729279861785
Glob+Loc,1,-1,-1,dinst6,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,330.7017747545615
Econ,1,-1,-1,dinst6,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,8409.722577142762
Glob,1,-1,-1,dinst6,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,2141.3497445508838
Loc,1,-1,-1,dinst6,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,8565.579312995076
,1,-1,-1,dinst6,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,8480.952205441194
Econ+Glob+Loc,-1,0,-1,dinst6,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,743.6469641872682
Econ+Glob,-1,0,-1,dinst6,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,5544.805208444828
Econ+Loc,-1,0,-1,dinst6,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,1416.0604944124352
Glob+Loc,-1,0,-1,dinst6,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,9030.061032920377
Econ,-1,0,-1,dinst6,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,1699.428277777275
Glob,-1,0,-1,dinst6,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,681.175127412891
Loc,-1,0,-1,dinst6,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,5339.201716198586
,-1,0,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,1101.1041209381074
Econ+Glob+Loc,0,0,-1,dinst6,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,3498.384161388967
Econ+Glob,0,0,-1,dinst6,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,514.7530022063293
Econ+Loc,0,0,-1,dinst6,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,9039.330649098614
Glob+Loc,0,0,-1,dinst6,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,6891.35819091904
Econ,0,0,-1,dinst6,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,376.7125596855767
Glob,0,0,-1,dinst6,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,83.36032281373627
Loc,0,0,-1,dinst6,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,265.1326036688406
,0,0,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,7003.162691963138
Econ+Glob+Loc,1,0,-1,dinst6,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst6/econ_1_loc_0_glob_-1.csv,116.87310300767422
Econ+Glob,1,0,-1,dinst6,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_0_glob_-1.csv,9710.184197730385
Econ+Loc,1,0,-1,dinst6,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_0_glob_-1.csv,5554.654489342123
Glob+Loc,1,0,-1,dinst6,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_0_glob_-1.csv,5353.373030824121
