m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-0.1,-0.1,-0.1,dinst9,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,3594.5906414438505
Econ+Glob,-0.1,-0.1,-0.1,dinst9,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,4970.355912048835
Econ+Loc,-0.1,-0.1,-0.1,dinst9,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,4614.616848010337
Glob+Loc,-0.1,-0.1,-0.1,dinst9,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,2615.366935019847
Econ,-0.1,-0.1,-0.1,dinst9,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,5016.043974760454
Glob,-0.1,-0.1,-0.1,dinst9,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,1667.085971509805
Loc,-0.1,-0.1,-0.1,dinst9,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,8195.24383041868
,-0.1,-0.1,-0.1,dinst9,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst9/econ_-0.1_loc_-0.1_glob_-0.1.csv,374.9837997399736
Econ+Glob+Loc,0,-0.1,-0.1,dinst9,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,6418.351067777025
Econ+Glob,0,-0.1,-0.1,dinst9,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,4507.81380336755
Econ+Loc,0,-0.1,-0.1,dinst9,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,6471.344115615822
Glob+Loc,0,-0.1,-0.1,dinst9,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,6646.947369250935
Econ,0,-0.1,-0.1,dinst9,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,7036.043737743748
Glob,0,-0.1,-0.1,dinst9,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,3563.2540187407285
Loc,0,-0.1,-0.1,dinst9,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,2476.923118825769
,0,-0.1,-0.1,dinst9,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst9/econ_0_loc_-0.1_glob_-0.1.csv,1454.4833704151679
Econ+Glob+Loc,0.1,-0.1,-0.1,dinst9,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,4118.291797833517
Econ+Glob,0.1,-0.1,-0.1,dinst9,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,737.6271944222972
Econ+Loc,0.1,-0.1,-0.1,dinst9,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,5887.870535438182
Glob+Loc,0.1,-0.1,-0.1,dinst9,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,4902.231056256918
Econ,0.1,-0.1,-0.1,dinst9,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,8653.076844510157
Glob,0.1,-0.1,-0.1,dinst9,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,9729.131529749604
Loc,0.1,-0.1,-0.1,dinst9,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,6201.732972733909
,0.1,-0.1,-0.1,dinst9,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst9/econ_0.1_loc_-0.1_glob_-0.1.csv,8501.62217922858
Econ+Glob+Loc,-0.1,0,-0.1,dinst9,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,9695.325337782968
Econ+Glob,-0.1,0,-0.1,dinst9,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,4890.883515653666
Econ+Loc,-0.1,0,-0.1,dinst9,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,8916.98400917137
Glob+Loc,-0.1,0,-0.1,dinst9,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,8642.164348693565
Econ,-0.1,0,-0.1,dinst9,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,6637.771092527779
Glob,-0.1,0,-0.1,dinst9,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,9644.504908763105
Loc,-0.1,0,-0.1,dinst9,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst9/econ_-0.1_loc_0_glob_-0.1.csv,2973.8234522871207
