m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst2,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,9850.019377802731
Econ+Glob,-1,-1,-1,dinst2,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,493.50039307796396
Econ+Loc,-1,-1,-1,dinst2,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,6970.882454466075
Glob+Loc,-1,-1,-1,dinst2,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,7279.652873297222
Econ,-1,-1,-1,dinst2,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,9846.27205698099
Glob,-1,-1,-1,dinst2,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,996.7398823942058
Loc,-1,-1,-1,dinst2,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,3994.0761594627984
,-1,-1,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,588.5503373830579
Econ+Glob+Loc,0,-1,-1,dinst2,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,3899.7051209984347
Econ+Glob,0,-1,-1,dinst2,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,1382.522131017642
Econ+Loc,0,-1,-1,dinst2,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,4023.586117412895
Glob+Loc,0,-1,-1,dinst2,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,2895.7162778316997
Econ,0,-1,-1,dinst2,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,8792.891023030505
Glob,0,-1,-1,dinst2,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,1296.1065647266805
Loc,0,-1,-1,dinst2,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,346.34981207712553
,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,6714.33368792478
Econ+Glob+Loc,1,-1,-1,dinst2,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,2064.464964719489
Econ+Glob,1,-1,-1,dinst2,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,6753.272895732196
Econ+Loc,1,-1,-1,dinst2,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,4105.970142344013
Glob+Loc,1,-1,-1,dinst2,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,4972.932861379348
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,3779.409369577421
Glob,1,-1,-1,dinst2,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,4264.911585036432
Loc,1,-1,-1,dinst2,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5939.915188947925
,1,-1,-1,dinst2,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,2046.4791690048296
Econ+Glob+Loc,-1,0,-1,dinst2,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,4296.42537879711
Econ+Glob,-1,0,-1,dinst2,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,9622.801135266433
Econ+Loc,-1,0,-1,dinst2,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,4280.449616224971
Glob+Loc,-1,0,-1,dinst2,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,4415.392463690136
Econ,-1,0,-1,dinst2,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,5375.292574838735
Glob,-1,0,-1,dinst2,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,986.2076005747076
Loc,-1,0,-1,dinst2,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,6646.128397189779
,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,5261.300241014687
Econ+Glob+Loc,0,0,-1,dinst2,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,4092.9787722483743
Econ+Glob,0,0,-1,dinst2,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,6971.093594445614
Econ+Loc,0,0,-1,dinst2,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,4913.555099613266
Glob+Loc,0,0,-1,dinst2,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,9765.379207427846
Econ,0,0,-1,dinst2,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,8767.120693946956
Glob,0,0,-1,dinst2,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,6905.609647150384
Loc,0,0,-1,dinst2,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,8408.940868227743
,0,0,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,8146.5369453500025
