m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst5,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,6404.357981154462
Econ+Glob,-1,-1,-1,dinst5,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,5404.5999158867635
Econ+Loc,-1,-1,-1,dinst5,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,2256.651033103699
Glob+Loc,-1,-1,-1,dinst5,fake_grid,Econ,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,5302.865699767368
Econ,-1,-1,-1,dinst5,fake_grid,Glob+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,9165.08546772506
Glob,-1,-1,-1,dinst5,fake_grid,Econ+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,3186.932090444956
Loc,-1,-1,-1,dinst5,fake_grid,Econ+Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,6380.381754058413
,-1,-1,-1,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,9895.613698302535
Econ+Glob+Loc,0,-1,-1,dinst5,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,4608.979743703967
Econ+Glob,0,-1,-1,dinst5,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,7350.085550782736
Econ+Loc,0,-1,-1,dinst5,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,4556.084083840251
Glob+Loc,0,-1,-1,dinst5,fake_grid,Econ,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,4123.203027414158
Econ,0,-1,-1,dinst5,fake_grid,Glob+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,7277.937176172622
Glob,0,-1,-1,dinst5,fake_grid,Econ+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,9456.268803711515
Loc,0,-1,-1,dinst5,fake_grid,Econ+Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,4105.07648568158
,0,-1,-1,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,5207.810729151359
Econ+Glob+Loc,1,-1,-1,dinst5,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst5/econ_1_loc_-1_glob_-1.csv,7115.706801039167
Econ+Glob,1,-1,-1,dinst5,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_1_loc_-1_glob_-1.csv,2817.782111838227
Econ+Loc,1,-1,-1,dinst5,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst5/econ_1_loc_-1_glob_-1.csv,1340.1084991765674
