m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst2,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,2174.5629179682583
Econ+Glob,-1,-1,-1,dinst2,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,1738.161802609684
Econ+Loc,-1,-1,-1,dinst2,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,7231.3996529479045
Glob+Loc,-1,-1,-1,dinst2,fake_grid,Econ,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,3991.6169431426097
Econ,-1,-1,-1,dinst2,fake_grid,Glob+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,7169.290562634356
Glob,-1,-1,-1,dinst2,fake_grid,Econ+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,9414.232217359357
Loc,-1,-1,-1,dinst2,fake_grid,Econ+Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,9049.891861888813
,-1,-1,-1,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,4536.383051959565
Econ+Glob+Loc,0,-1,-1,dinst2,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,3869.5729038945865
Econ+Glob,0,-1,-1,dinst2,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,9255.765454906737
Econ+Loc,0,-1,-1,dinst2,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,4911.175854949513
Glob+Loc,0,-1,-1,dinst2,fake_grid,Econ,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,2995.829519157298
Econ,0,-1,-1,dinst2,fake_grid,Glob+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,4859.577914531343
Glob,0,-1,-1,dinst2,fake_grid,Econ+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,3741.509485997958
Loc,0,-1,-1,dinst2,fake_grid,Econ+Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,6553.20474769501
,0,-1,-1,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,22.222798145841807
