m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-10,-10,-10,dinst8,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,9759.675126771908
Econ+Glob,-10,-10,-10,dinst8,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,9736.014763390413
Econ+Loc,-10,-10,-10,dinst8,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,5150.073795990786
Glob+Loc,-10,-10,-10,dinst8,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,2080.0803275289945
Econ,-10,-10,-10,dinst8,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,5644.823771673022
Glob,-10,-10,-10,dinst8,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,9575.084605725482
Loc,-10,-10,-10,dinst8,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,228.1997855687514
,-10,-10,-10,dinst8,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst8/econ_-10_loc_-10_glob_-10.csv,9896.17787201982
Econ+Glob+Loc,0,-10,-10,dinst8,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,9118.00824116473
Econ+Glob,0,-10,-10,dinst8,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,5010.972615621053
Econ+Loc,0,-10,-10,dinst8,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,8322.96602722304
Glob+Loc,0,-10,-10,dinst8,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,6353.328721604077
Econ,0,-10,-10,dinst8,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,496.29599973768927
Glob,0,-10,-10,dinst8,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,3648.5123112825677
Loc,0,-10,-10,dinst8,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,2416.398226727266
,0,-10,-10,dinst8,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst8/econ_0_loc_-10_glob_-10.csv,2216.1576731991954
Econ+Glob+Loc,10,-10,-10,dinst8,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,7662.954305733554
Econ+Glob,10,-10,-10,dinst8,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,9344.394474427681
Econ+Loc,10,-10,-10,dinst8,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,1095.4350149319507
Glob+Loc,10,-10,-10,dinst8,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,7242.720017947955
Econ,10,-10,-10,dinst8,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,454.3307688415516
Glob,10,-10,-10,dinst8,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,3954.5274480169173
Loc,10,-10,-10,dinst8,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,4160.054104521871
,10,-10,-10,dinst8,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst8/econ_10_loc_-10_glob_-10.csv,3260.3055532602593
Econ+Glob+Loc,-10,0,-10,dinst8,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,3788.450012732297
Econ+Glob,-10,0,-10,dinst8,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,8471.446629690705
Econ+Loc,-10,0,-10,dinst8,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,4397.512190239737
Glob+Loc,-10,0,-10,dinst8,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,7723.447498781839
Econ,-10,0,-10,dinst8,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,7446.765570321353
Glob,-10,0,-10,dinst8,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,2397.0083907735534
Loc,-10,0,-10,dinst8,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,9900.52868772205
,-10,0,-10,dinst8,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst8/econ_-10_loc_0_glob_-10.csv,9504.012380811619
Econ+Glob+Loc,0,0,-10,dinst8,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,4417.731712049339
Econ+Glob,0,0,-10,dinst8,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,8858.019990318455
Econ+Loc,0,0,-10,dinst8,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,5855.547675569542
Glob+Loc,0,0,-10,dinst8,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,5933.432991594542
Econ,0,0,-10,dinst8,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,7760.266439161496
Glob,0,0,-10,dinst8,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,896.540339380037
Loc,0,0,-10,dinst8,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,2783.7584824529476
,0,0,-10,dinst8,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst8/econ_0_loc_0_glob_-10.csv,2030.3219750004355
Econ+Glob+Loc,10,0,-10,dinst8,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst8/econ_10_loc_0_glob_-10.csv,8412.85741904797
Econ+Glob,10,0,-10,dinst8,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_0_glob_-10.csv,4950.853215742856
Econ+Loc,10,0,-10,dinst8,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_0_glob_-10.csv,8303.838746754453
Glob+Loc,10,0,-10,dinst8,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst8/econ_10_loc_0_glob_-10.csv,8523.123335823184
