m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst4,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,7512.822740555974
Econ+Glob,-1,-1,-1,dinst4,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,5276.9167096591555
Econ+Loc,-1,-1,-1,dinst4,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,7041.348805208225
Glob+Loc,-1,-1,-1,dinst4,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,4122.255222087726
Econ,-1,-1,-1,dinst4,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,9378.361084634205
Glob,-1,-1,-1,dinst4,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,9122.48002124345
Loc,-1,-1,-1,dinst4,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,1583.8155139286537
,-1,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,1685.1118776046205
Econ+Glob+Loc,0,-1,-1,dinst4,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,7969.76783901453
Econ+Glob,0,-1,-1,dinst4,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,4854.608776447829
Econ+Loc,0,-1,-1,dinst4,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,8393.755041982746
Glob+Loc,0,-1,-1,dinst4,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,7231.0132602434605
Econ,0,-1,-1,dinst4,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,6893.846619906835
Glob,0,-1,-1,dinst4,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,5814.977035261691
Loc,0,-1,-1,dinst4,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,9777.616626230069
,0,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,5051.480772761395
Econ+Glob+Loc,1,-1,-1,dinst4,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,3059.7505887355655
Econ+Glob,1,-1,-1,dinst4,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,9797.6500255391
Econ+Loc,1,-1,-1,dinst4,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,1255.4206777911168
Glob+Loc,1,-1,-1,dinst4,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,4334.007070588414
Econ,1,-1,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,8647.752793933498
Glob,1,-1,-1,dinst4,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,7503.362005831208
Loc,1,-1,-1,dinst4,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,5939.980046750512
,1,-1,-1,dinst4,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,8700.009849238675
Econ+Glob+Loc,-1,0,-1,dinst4,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,1474.5179826505482
Econ+Glob,-1,0,-1,dinst4,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,3766.2492094892077
Econ+Loc,-1,0,-1,dinst4,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,8147.270581873134
Glob+Loc,-1,0,-1,dinst4,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,3934.88221074827
Econ,-1,0,-1,dinst4,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,2979.078345109243
Glob,-1,0,-1,dinst4,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,1312.49473622581
Loc,-1,0,-1,dinst4,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,4111.914773533354
,-1,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,27.37413126975298
Econ+Glob+Loc,0,0,-1,dinst4,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,6130.630152276717
Econ+Glob,0,0,-1,dinst4,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,3597.0003955122083
Econ+Loc,0,0,-1,dinst4,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,196.102613811614
Glob+Loc,0,0,-1,dinst4,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,6348.617424656637
Econ,0,0,-1,dinst4,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,265.03590247547254
Glob,0,0,-1,dinst4,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,5347.92095016758
Loc,0,0,-1,dinst4,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,4567.436653082492
,0,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,2332.2129665911198
Econ+Glob+Loc,1,0,-1,dinst4,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst4/econ_1_loc_0_glob_-1.csv,8120.8636201093905
Econ+Glob,1,0,-1,dinst4,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_-1.csv,4666.171695786063
Econ+Loc,1,0,-1,dinst4,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_-1.csv,7851.446752641816
