m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff
,-1,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.792800398776,Econ+Loc,Glob,stan_models/master_model.stan,9061.634765264113,-3.97156025991794,3.0157494863043737
,-1,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.792800398776,Glob+Loc,Econ,stan_models/master_model.stan,5642.559592047241,-9.066461266597456,3.754176371059022
,-1,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.792800398776,Econ,Glob+Loc,stan_models/master_model.stan,5070.564499628963,-0.5063793203089535,1.8979888382349166
,-1,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.792800398776,Glob,Econ+Loc,stan_models/master_model.stan,1963.329971465515,-5.726457825567435,3.1525701577059175
,-1,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.792800398776,Loc,Econ+Glob,stan_models/master_model.stan,4140.835596160963,-4.109883134267291,2.2746545736084425
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,Econ+Glob+Loc,,stan_models/master_model.stan,2786.462160470197,-23.991271213014898,7.240938531894905
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,Econ+Glob,Loc,stan_models/master_model.stan,5814.781470094575,-24.949672664978543,7.1565546570655165
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,Econ+Loc,Glob,stan_models/master_model.stan,8441.974975535646,-26.587781893974636,7.514668481948484
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,Glob+Loc,Econ,stan_models/master_model.stan,8142.2314339601435,-0.38108217964808233,0.9467008950676825
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,Econ,Glob+Loc,stan_models/master_model.stan,8329.79395747534,-27.57701107518891,7.474798689964049
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,Loc,Econ+Glob,stan_models/master_model.stan,2201.3625535790343,-17.429779996783935,5.8959781664927835
Glob,-1,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.1722139692865,,Econ+Glob+Loc,stan_models/master_model.stan,2096.5693325521424,-17.874467411095353,5.721908534278779
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,Econ+Glob+Loc,,stan_models/master_model.stan,8093.698746999027,-9.466371569741247,4.094908676441896
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,Econ+Glob,Loc,stan_models/master_model.stan,8549.571946823737,-4.620502951252867,4.596870262831812
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,Econ+Loc,Glob,stan_models/master_model.stan,1957.4278951336164,-9.497097323268191,4.311763767159667
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,Glob+Loc,Econ,stan_models/master_model.stan,9232.757054570131,-2.392993294580558,1.957325762031747
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,Econ,Glob+Loc,stan_models/master_model.stan,3125.270851650974,-4.395503680941696,4.755801112263264
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,Glob,Econ+Loc,stan_models/master_model.stan,1605.1827574013732,-1.2049825856569747,2.939688799015007
