m_pos_vars_CORRECT,d_coef_econ,econ_sign,d_coef_loc,loc_sign,d_coef_glob,glon_sign,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,INCOR_MOD_econ,INCOR_MOD_glob,INCOR_MOD_loc,econ_match,loc_match,glob_match,NUM_MATCHES,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff,num_zeroes
NA,-1,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2308.618583,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,5097.765707,-10.47546736,4.42825058,one
NA,-1,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2308.618583,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,6737.314123,-4.819312722,2.691436483,one
NA,-1,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2308.618583,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,6901.879501,-6.42900402,3.564028177,one
NA,-1,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2308.618583,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,6339.331663,-1.487624971,1.640155288,one
NA,-1,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2308.618583,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,8223.064657,-2.870936119,2.080247118,one
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,6333.708923,-6.345402989,3.9510116,two
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,6025.587301,-1.519327531,3.2249376,two
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,9061.634765,-3.97156026,3.015749486,two
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,5642.559592,-9.066461267,3.754176371,two
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,5070.5645,-0.5063793203,1.897988838,two
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,1963.329971,-5.726457826,3.152570158,two
NA,-1,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8231.7928,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,4140.835596,-4.109883134,2.274654574,two
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,MATCH,1,stan_models/master_model.stan,2786.46216,-23.99127121,7.240938532,one
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,5814.78147,-24.94967266,7.156554657,one
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,Econ+Loc,Glob,pos,neg,pos,NO,NO,NO,0,stan_models/master_model.stan,8441.974976,-26.58778189,7.514668482,one
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,8142.231434,-0.3810821796,0.9467008951,one
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,NO,1,stan_models/master_model.stan,8329.793957,-27.57701108,7.47479869,one
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,NO,1,stan_models/master_model.stan,2201.362554,-17.42978,5.895978166,one
Glob,-1,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4750.172214,NA,Econ+Glob+Loc,neg,neg,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,2096.569333,-17.87446741,5.721908534,one
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,Econ+Glob+Loc,NA,pos,pos,pos,NO,MATCH,NO,1,stan_models/master_model.stan,8093.698747,-9.46637157,4.094908676,zero
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,Econ+Glob,Loc,pos,pos,neg,NO,NO,NO,0,stan_models/master_model.stan,8549.571947,-4.620502951,4.596870263,zero
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,Econ+Loc,Glob,pos,neg,pos,NO,MATCH,MATCH,2,stan_models/master_model.stan,1957.427895,-9.497097323,4.311763767,zero
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,Glob+Loc,Econ,neg,pos,pos,MATCH,MATCH,NO,2,stan_models/master_model.stan,9232.757055,-2.392993295,1.957325762,zero
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,Econ,Glob+Loc,pos,neg,neg,NO,NO,MATCH,1,stan_models/master_model.stan,3125.270852,-4.395503681,4.755801112,zero
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,Glob,Econ+Loc,neg,pos,neg,MATCH,NO,NO,1,stan_models/master_model.stan,1605.182757,-1.204982586,2.939688799,zero
Loc,-1,neg,1,pos,-1,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432844,NA,Econ+Glob+Loc,neg,neg,neg,MATCH,NO,MATCH,2,stan_models/master_model.stan,5250.060551,-3.265899995,2.2306978,zero
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,Econ+Glob+Loc,NA,pos,pos,pos,NO,MATCH,NO,1,stan_models/master_model.stan,6937.265356,-3.295241498,3.126975139,one
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,Econ+Glob,Loc,pos,pos,neg,NO,NO,NO,0,stan_models/master_model.stan,9432.949596,-2.601962219,3.305508968,one
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,Econ+Loc,Glob,pos,neg,pos,NO,MATCH,MATCH,2,stan_models/master_model.stan,2821.292311,-0.008353389654,1.537470248,one
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,Glob+Loc,Econ,neg,pos,pos,MATCH,MATCH,NO,2,stan_models/master_model.stan,4862.967383,-6.300786411,3.407890983,one
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,Econ,Glob+Loc,pos,neg,neg,NO,NO,MATCH,1,stan_models/master_model.stan,8218.210479,-0.8132936668,1.924376812,one
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,Glob,Econ+Loc,neg,pos,neg,MATCH,NO,NO,1,stan_models/master_model.stan,5730.208139,-5.386544488,3.59732216,one
Loc,-1,neg,1,pos,0,neg,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607862,NA,Econ+Glob+Loc,neg,neg,neg,MATCH,NO,MATCH,2,stan_models/master_model.stan,2111.025857,-1.017987447,1.176431077,one
