m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,ac_dist_brms_coef,Loc_brms_coef
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,5985.025731096277,-1.3188252674865077,-1.2741046880973417,0.15940093625032048,-0.30172368060616594,-0.1784,-0.31882526748650775,-0.2741046880973417,1.1594009362503206,-0.12332368060616594,1.2223595531294034,-1.3155591295731661,-1.2802098645654438,-0.3049803882520513,0.12865284771220836
NA,0,-1,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,497.3827468249947,-1.1626215567714215,-1.5558190864859116,-2.285238784351424,-0.2196672240686003,-0.1784,-1.1626215567714215,-0.5558190864859116,-1.285238784351424,-0.04126722406860028,1.6319307342390434,-1.164077785656865,-1.558941341939136,-0.21989538385606036,-2.315015584110552
Econ,1,-1,-1,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,1802.3732714334037,-1.3670114894629535,-0.8958013035793296,-0.7961095507145309,-0.3507605646042117,-0.1784,-2.3670114894629535,0.10419869642067037,0.20389044928546907,-0.17236056460421167,1.2799984094227332,-1.3686186603388935,-0.9047956510991072,-0.35178942388280365,-0.8213781732079686
NA,-1,0,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,3170.7150346839335,-0.14139150709080797,0.4675619342014464,-2.3214215064105397,-0.14095534530691972,-0.1784,0.8586084929091921,1.4675619342014463,-2.3214215064105397,0.03744465469308028,1.2542309104480571,-0.13753581620522873,0.46837598175023365,-0.14143050849545952,-2.338913608065612
NA,0,0,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,337.2350267621223,-0.5728200856976976,-1.461819323139128,-1.7628912652411193,-0.21934578786221903,-0.1784,-0.5728200856976976,-0.4618193231391281,-1.7628912652411193,-0.04094578786221903,1.4655378602686937,-0.5834941446887989,-1.4923984625997415,-0.22556633975286786,-1.8064990684497932
Econ,1,0,-1,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_-1.csv,2918.1995113242883,-0.12312069262124813,-0.6205210642712825,-0.5322335546310285,-0.2865815203423067,-0.1784,-1.123120692621248,0.3794789357287175,-0.5322335546310285,-0.10818152034230671,1.1015208004857049,-0.12170097496984948,-0.6278893732957993,-0.2875429402235076,-0.5670243349587282
Loc,-1,1,-1,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_1_glob_-1.csv,8398.300717445789,-1.5819060640987057,-0.7026113688212218,0.3807117756158348,-0.26803297717223773,-0.1784,-0.5819060640987057,0.29738863117877823,-0.6192882243841652,-0.08963297717223773,1.2333555835753875,-1.5918453426026284,-0.7178647193632485,-0.26888984595689314,0.3684878112173631
Loc,0,1,-1,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_1_glob_-1.csv,7715.82171908021,-1.4109865273968833,-0.8398749987967263,-0.2517269042564678,-0.11232699456645583,-0.1784,-1.4109865273968833,0.16012500120327366,-1.2517269042564678,0.06607300543354418,1.2882220520523975,-1.4112964957137055,-0.8396026702812758,-0.11476187174327171,-0.2770061914751484
Econ+Loc,1,1,-1,dinst1,hk,Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_1_glob_-1.csv,1390.0410498126876,-0.4353900306281428,-1.5309386277240598,-0.5803732053634232,-0.100883560822818,-0.1784,-1.4353900306281429,-0.5309386277240598,-1.5803732053634232,0.077516439177182,1.4562379285556568,-0.4354425952224884,-1.5446725165910198,-0.10183069199863123,-0.5849013461423775
NA,-1,-1,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,6063.703118291916,0.06922423863119279,-1.575982303227684,-3.32394148490625,-0.03798909184075861,-0.1784,1.0692242386311928,-1.575982303227684,-2.32394148490625,0.1404109081592414,1.7623527422197227,0.07366022273733872,-1.5797726985664429,-0.03709610188899072,-3.345169790017545
NA,0,-1,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_-1_glob_0.csv,5775.89720016811,-0.20448224341866392,-1.2329767971425827,0.01037204942933268,-0.1913277528703562,-0.1784,-0.20448224341866392,-1.2329767971425827,1.0103720494293327,-0.01292775287035619,1.2513461407773383,-0.20940655673099998,-1.2432353315334967,-0.1919855743998648,-0.010082308396227885
Econ,1,-1,0,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_0.csv,8474.185019285418,-0.23907976450455273,-1.2186655820508756,-0.47300595880537666,-0.17438916712746297,-0.1784,-1.2390797645045528,-1.2186655820508756,0.5269940411946233,0.004010832872537035,1.350146228304025,-0.23914210804309116,-1.229525189337785,-0.1735435071078229,-0.49437447391112244
NA,-1,0,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_0_glob_0.csv,8285.85317453486,-0.49937200417566924,-0.42380881792601827,-0.9398566019849253,-0.24477957337568648,-0.1784,0.5006279958243307,-0.42380881792601827,-0.9398566019849253,-0.06637957337568648,1.3141058822947136,-0.5082209489680664,-0.43670505739228344,-0.24517004519331626,-0.9310143326211107
NA,0,0,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_0_glob_0.csv,3661.4868563902564,0.42652890218900286,-0.02714715198542503,-0.05768109941346821,-0.17208159190459626,-0.1784,0.42652890218900286,-0.02714715198542503,-0.05768109941346821,0.006318408095403738,1.1262168131244084,0.4280427346543522,-0.041938628541061625,-0.17360802592159916,-0.06638636649508217
Econ,1,0,0,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_0.csv,3406.351142060943,0.09539169495824491,-1.0800187156038414,-1.2744666469583883,-0.29075792854172444,-0.1784,-0.904608305041755,-1.0800187156038414,-1.2744666469583883,-0.11235792854172444,1.2930744269584118,0.09884469171057635,-1.0871637344950535,-0.2929371735702642,-1.300726670324904
Loc,-1,1,0,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_1_glob_0.csv,8195.527471266454,-0.2530473148864809,-1.3838567423629515,-1.7152792242337447,-0.1649009986428069,-0.1784,0.7469526851135191,-1.3838567423629515,-2.7152792242337447,0.013499001357193091,NA,NA,NA,NA,0.12865284771220836
Loc,0,1,0,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_1_glob_0.csv,8522.325423515867,0.667038832408481,-0.6713711940343282,1.2576273591531937,-0.21444260842392404,-0.1784,0.667038832408481,-0.6713711940343282,0.2576273591531937,-0.03604260842392404,NA,NA,NA,NA,0.12865284771220836
Econ+Loc,1,1,0,dinst1,hk,Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_1_glob_0.csv,388.7475711123552,1.7898579150191154,-0.7455544185490525,-0.8019393629858426,-0.11177143497605306,-0.1784,0.7898579150191154,-0.7455544185490525,-1.8019393629858427,0.06662856502394694,NA,NA,NA,NA,0.12865284771220836
Glob,-1,-1,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_1.csv,5024.041901684133,0.27245368537637166,-1.2545624536297262,-0.16080878248257696,-0.15948966678367119,-0.1784,1.2724536853763717,-2.254562453629726,0.839191217517423,0.018910333216328817,NA,NA,NA,NA,0.12865284771220836
Glob,0,-1,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_1.csv,9128.15486362297,1.0608879120268324,-0.7849348779691947,-0.6829847068508729,-0.0950920539970112,-0.1784,1.0608879120268324,-1.7849348779691947,0.31701529314912713,0.0833079460029888,NA,NA,NA,NA,0.12865284771220836
Econ+Glob,1,-1,1,dinst1,hk,Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_1.csv,6072.9687394958455,1.078365892616841,-1.684946896234282,-0.36986252091630867,-0.17424200363023432,-0.1784,0.0783658926168409,-2.684946896234282,0.6301374790836913,0.004157996369765687,NA,NA,NA,NA,0.12865284771220836
Glob,-1,0,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_1.csv,3077.81478000083,1.730878962319487,-0.8638742091307353,-3.022906239482979,-0.17648098818749847,-0.1784,2.730878962319487,-1.8638742091307354,-3.022906239482979,0.0019190118125015365,NA,NA,NA,NA,0.12865284771220836
Glob,0,0,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_1.csv,8216.29228146025,0.6821462237785326,-1.5348550555923788,-1.5988447188718622,-0.014846885580286132,-0.1784,0.6821462237785326,-2.534855055592379,-1.5988447188718622,0.16355311441971387,NA,NA,NA,NA,0.12865284771220836
