m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff
NA,-1,-1,-1,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_-1.csv,4536.383051959565,-1.3786102791695456,-0.8085892801358003,-1.1322338830777343,-0.3786102791695456,0.19141071986419966,-0.13223388307773432
NA,0,-1,-1,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_0_loc_-1_glob_-1.csv,22.222798145841807,0.05523083361094262,-0.9669596755219488,-0.9434713756525983,0.05523083361094262,0.033040324478051164,0.05652862434740169
Econ,1,-1,-1,dinst2,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_-1_glob_-1.csv,8508.545795634156,1.0135438153813698,-0.9768398631019161,-0.9872132246787483,0.01354381538136984,0.02316013689808394,0.01278677532125172
NA,-1,0,-1,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_-1_loc_0_glob_-1.csv,1772.2333041725215,-0.9783679217293609,-0.9151693476699709,-0.013076203818193273,0.021632078270639066,0.08483065233002907,-0.013076203818193273
NA,0,0,-1,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_0_loc_0_glob_-1.csv,3372.279000277864,-0.04382629364331291,-0.9940487948153945,-0.01607136914303375,-0.04382629364331291,0.005951205184605457,-0.01607136914303375
Econ,1,0,-1,dinst2,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_0_glob_-1.csv,5465.917104979046,1.1144737155804059,-1.0900073306792917,-0.001652742590411084,0.11447371558040587,-0.09000733067929167,-0.001652742590411084
Loc,-1,1,-1,dinst2,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_1_glob_-1.csv,2564.872131327167,-0.9653079097819851,-0.9739147193303231,0.964294059609551,0.03469209021801489,0.026085280669676858,-0.035705940390449054
Loc,0,1,-1,dinst2,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_1_glob_-1.csv,3104.6879524725955,-0.00360604657739713,-0.9749119212960279,1.0352896679952464,-0.00360604657739713,0.025088078703972116,0.035289667995246354
Econ+Loc,1,1,-1,dinst2,fake_grid,Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_1_glob_-1.csv,6328.323327665217,1.043646860794913,-1.0666081463478592,1.0685463115518619,0.04364686079491298,-0.06660814634785917,0.06854631155186186
NA,-1,-1,0,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_0.csv,1275.4488552310504,-1.0048415885957174,-0.006043152818846373,-1.0457384092815412,-0.004841588595717372,-0.006043152818846373,-0.04573840928154116
NA,0,-1,0,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_0_loc_-1_glob_0.csv,4609.125627780333,-0.004930258945554437,-0.011832532114965892,-1.0695558896182868,-0.004930258945554437,-0.011832532114965892,-0.06955588961828685
Econ,1,-1,0,dinst2,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_-1_glob_0.csv,2440.160007979255,0.9711894316443959,-0.010702855626747033,-0.9928426386111978,-0.028810568355604138,-0.010702855626747033,0.007157361388802186
NA,-1,0,0,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_-1_loc_0_glob_0.csv,9089.23628720385,-0.9842154381278735,0.028718016002039513,-2.702228658005341e-15,0.015784561872126512,0.028718016002039513,-2.702228658005341e-15
NA,0,0,0,dinst2,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst2/econ_0_loc_0_glob_0.csv,6635.6756120997015,0.015286862655714991,-0.024376467412689555,-0.02478963472309719,0.015286862655714991,-0.024376467412689555,-0.02478963472309719
Econ,1,0,0,dinst2,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_0_glob_0.csv,5146.801167049212,1.0381826645318475,-0.09414624105719924,0.04437165442613745,0.03818266453184749,-0.09414624105719924,0.04437165442613745
Loc,-1,1,0,dinst2,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_1_glob_0.csv,2066.2645935537294,-0.9736670213397763,-0.0464123676818674,1.0081202048931601,0.02633297866022366,-0.0464123676818674,0.008120204893160121
Loc,0,1,0,dinst2,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_1_glob_0.csv,3979.7310820794664,-0.012642652113743534,0.04553759282468669,1.0578271501364065,-0.012642652113743534,0.04553759282468669,0.05782715013640649
Econ+Loc,1,1,0,dinst2,fake_grid,Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_1_glob_0.csv,5217.369689957704,0.9732150200527391,0.015423615374417492,0.6925829259571679,-0.026784979947260923,0.015423615374417492,-0.30741707404283214
Glob,-1,-1,1,dinst2,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_-1_glob_1.csv,1837.2680380251259,-1.0229046648019129,1.0030118060433828,-1.0040612263848034,-0.02290466480191289,0.003011806043382803,-0.00406122638480344
Glob,0,-1,1,dinst2,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_-1_glob_1.csv,7097.11248180503,-0.0167599770084431,1.0058183552573796,-1.0183275827417393,-0.0167599770084431,0.005818355257379615,-0.01832758274173929
Econ+Glob,1,-1,1,dinst2,fake_grid,Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_-1_glob_1.csv,1040.0758457803167,0.9232697300331983,0.9369695869668359,-1.0177330866419372,-0.07673026996680166,-0.06303041303316415,-0.01773308664193718
Glob,-1,0,1,dinst2,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_0_glob_1.csv,7753.8402203379665,-1.0007525130794337,0.9568001207634383,-0.026911453283208403,-7.525130794336921e-4,-0.043199879236561656,-0.026911453283208403
Glob,0,0,1,dinst2,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_0_glob_1.csv,675.2775396069046,-0.017834782320142167,0.9513111087406678,-0.020383182420807125,-0.017834782320142167,-0.04868889125933218,-0.020383182420807125
Econ+Glob,1,0,1,dinst2,fake_grid,Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_1_loc_0_glob_1.csv,8418.799242580542,1.1190090699235544,0.8226417178774019,-0.15019874120815668,0.11900906992355442,-0.17735828212259808,-0.15019874120815668
Glob+Loc,-1,1,1,dinst2,fake_grid,Econ,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_-1_loc_1_glob_1.csv,6825.889529755106,-0.9796393088689924,0.9588746142413447,1.0654016167430513,0.02036069113100758,-0.04112538575865532,0.06540161674305134
Glob+Loc,0,1,1,dinst2,fake_grid,Econ,TRUE,stan_models/master_model.stan,fake_grid/dinst2/econ_0_loc_1_glob_1.csv,3325.5171508647036,0.07858490803856533,1.0777507382352634,0.9253502027788153,0.07858490803856533,0.07775073823526335,-0.0746497972211847
Econ+Glob+Loc,1,1,1,dinst2,fake_grid,NA,TRUE,stan_models/master_pos.stan,fake_grid/dinst2/econ_1_loc_1_glob_1.csv,5501.344059884781,1.3782069805487245,1.378206980548654,0.5682906732352548,0.3782069805487245,0.3782069805486541,-0.43170932676474516
