m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff
NA,-1,-1,-1,dinst3,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,1974.716281478526,-0.9862930289452747,-1.0473255524077474,-0.8619830371761807,0.013706971054725292,-0.047325552407747384,0.13801696282381926
NA,0,-1,-1,dinst3,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst3/econ_0_loc_-1_glob_-1.csv,9509.539327659179,-0.9985207911620502,-1.362387078450011,-1.131500012262979,-0.9985207911620502,-0.36238707845001095,-0.13150001226297903
Econ,1,-1,-1,dinst3,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst3/econ_1_loc_-1_glob_-1.csv,877.7579211108387,-1.0006772540570137,-0.9022550067127998,-1.0911079293563806,-2.0006772540570137,0.09774499328720021,-0.09110792935638057
NA,-1,0,-1,dinst3,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst3/econ_-1_loc_0_glob_-1.csv,6554.3133344408125,-1.096536217832072,-1.068340035207612,-0.7797185677021113,-0.09653621783207189,-0.068340035207612,-0.7797185677021113
NA,0,0,-1,dinst3,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst3/econ_0_loc_0_glob_-1.csv,9873.671558005502,-1.0434615627600259,-1.222707197921436,-0.9867885271112823,-1.0434615627600259,-0.2227071979214359,-0.9867885271112823
Econ,1,0,-1,dinst3,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst3/econ_1_loc_0_glob_-1.csv,234.49736668518744,-1.0858424746882613,-1.1482666268544472,-1.241523214834112,-2.0858424746882616,-0.14826662685444725,-1.241523214834112
Loc,-1,1,-1,dinst3,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_1_glob_-1.csv,1431.3375019882806,-1.065591894410889,-1.0829470603824558,-1.1974952441083373,-0.06559189441088908,-0.0829470603824558,-2.197495244108337
Loc,0,1,-1,dinst3,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst3/econ_0_loc_1_glob_-1.csv,7489.856350307586,-0.9630698505552151,-0.8745994646982039,-0.8914144457870119,-0.9630698505552151,0.12540053530179607,-1.891414445787012
Econ+Loc,1,1,-1,dinst3,fake_grid,Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst3/econ_1_loc_1_glob_-1.csv,3609.3765162837226,0.02983652699480534,-1.0275475911960976,-1.0835856941659676,-0.9701634730051947,-0.02754759119609762,-2.0835856941659676
NA,-1,-1,0,dinst3,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_0.csv,9390.0784886193,-0.026644015091582412,-0.8847683148330557,-0.9234850712166964,0.9733559849084176,-0.8847683148330557,0.07651492878330357
