m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff
NA,-1,-1,-1,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_-1.csv,6555.16011534119,-0.9987880668678231,-0.9571879264625914,-0.9713724956629358,0.0012119331321769344,0.04281207353740857,0.02862750433706418
NA,0,-1,-1,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_0_loc_-1_glob_-1.csv,1868.1819035140797,-1.050941296330361,-1.0882514272013886,-0.9532026034529367,-1.050941296330361,-0.08825142720138857,0.046797396547063275
Econ,1,-1,-1,dinst5,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst5/econ_1_loc_-1_glob_-1.csv,2745.9493588230107,-0.967848295473222,-1.0092448270830525,-0.9516100300567586,-1.967848295473222,-0.00924482708305252,0.04838996994324141
NA,-1,0,-1,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_-1_loc_0_glob_-1.csv,7173.134472901933,-1.0342104432521477,-1.001607910187661,-1.011035911465801,-0.034210443252147726,-0.0016079101876609325,-1.011035911465801
NA,0,0,-1,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_0_loc_0_glob_-1.csv,5817.685655779205,-1.0164465393946303,-1.0202673193518355,-1.0145441600899678,-1.0164465393946303,-0.020267319351835456,-1.0145441600899678
Econ,1,0,-1,dinst5,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst5/econ_1_loc_0_glob_-1.csv,594.5796219848562,-1.0825399200989771,-1.0268692010773084,-0.9951659219259732,-2.082539920098977,-0.02686920107730839,-0.9951659219259732
Loc,-1,1,-1,dinst5,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst5/econ_-1_loc_1_glob_-1.csv,3186.7912303514313,-1.0954907539786172,-1.0173234682222196,-1.0081551326557843,-0.09549075397861717,-0.01732346822221964,-2.0081551326557845
Loc,0,1,-1,dinst5,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst5/econ_0_loc_1_glob_-1.csv,1407.3793547118548,-0.966522867612176,-0.9524275167403334,-0.9134413367392482,-0.966522867612176,0.047572483259666565,-1.9134413367392482
Econ+Loc,1,1,-1,dinst5,fake_grid,Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst5/econ_1_loc_1_glob_-1.csv,5068.278189335484,0.023007043893092622,-1.0245203732902186,-0.9991535003579581,-0.9769929561069074,-0.02452037329021861,-1.9991535003579581
NA,-1,-1,0,dinst5,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst5/econ_-1_loc_-1_glob_0.csv,5668.756240297575,-0.011461041310991522,-0.9872076644677719,-1.0043858099384728,0.9885389586890084,-0.9872076644677719,-0.004385809938472818
