m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,csv_filename.x,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,csv_filename.y,seed.y,elpd_diff,se_diff,elpd_over_se
NA,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,8119.931003135163,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,8630.932343399152,-1.76682610152365,1.4705283232197413,-1.2014906980201243
NA,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,8119.931003135163,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,4541.402546275174,-0.6562465192773743,1.0972864288359232,-0.5980630964091715
NA,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,8119.931003135163,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,3106.168784219539,-0.8755078871648685,1.24877118304411,-0.7010955241861496
NA,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,8119.931003135163,Loc,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,75.34875803487375,-0.5615903010479926,0.8665059858022652,-0.6481089689507884
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2279.6672464553267,-7.063989905697316,3.3853658366355237,-2.0866252708208686
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,3062.1173432844225,-5.201036620961359,2.957325010861675,-1.7586963224735093
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,3193.683035959257,-6.626549652021973,3.6081967224612845,-1.836526708971056
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,4451.1913353386335,-2.387040686782653,1.7904185883066384,-1.3332305095426285
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,1687.8596609763335,-4.405668560842489,2.8389494500942596,-1.551865800462284
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,3120.317833149107,-2.530984414062674,2.1269071105750483,-1.1899835218371977
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2518.714091084432,NA,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,2493.2297053134535,0.025700781585907606,1.057616025251878,0.024300673375090738
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,2631.4835786381736,-6.051508072668888,3.377785249377283,-1.7915609270259332
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,6780.732132797362,-2.0194902831971806,2.170316998932106,-0.9305047530802464
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5972.426985958125,-9.204255123531837,4.1173358038269114,-2.235488083089269
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,8628.441958829528,-1.9557905573149057,1.6242794232258804,-1.2040973550170522
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,6091.23496797285,-0.9307477451494268,2.0196210795581564,-0.46085265922905283
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,6220.891307376325,-0.6815976221587405,1.3511725941949984,-0.5044489690562609
