#file onset offset #item word
raw_data/wav/Mrajesh1.wav 258.25719 258.6 Mrajesh1_75 ARA
raw_data/wav/Mrajesh1.wav 263.88766 264.25548 Mrajesh1_76 ALA
raw_data/wav/Mrajesh1.wav 265.6 266.02283 Mrajesh1_77 ALA
raw_data/wav/Mrajesh1.wav 267.46272 267.83 Mrajesh1_78 ALA
raw_data/wav/Mrajesh1.wav 271.46081 271.85 Mrajesh1_79 AVLA
raw_data/wav/Mrajesh1.wav 273.31766 273.69 Mrajesh1_80 AVLA
raw_data/wav/Mrajesh1.wav 275.23441 275.6 Mrajesh1_81 AVLA
raw_data/wav/Mrajesh1.wav 281.56431 281.96 Mrajesh1_82 AXA
raw_data/wav/Mrajesh1.wav 283.33177 283.76 Mrajesh1_83 AXA
raw_data/wav/Mrajesh1.wav 285.24808 285.64 Mrajesh1_84 AXA
raw_data/wav/Mrajesh1.wav 289.55329 289.97 Mrajesh1_85 AXRA
raw_data/wav/Mrajesh1.wav 291.35143 291.73 Mrajesh1_86 AXRA
raw_data/wav/Mrajesh1.wav 293.05803 293.45 Mrajesh1_87 AXRA
raw_data/wav/Mrajesh1.wav 297.06056 297.46 Mrajesh1_88 ASA
raw_data/wav/Mrajesh1.wav 298.82232 299.19 Mrajesh1_89 ASA
raw_data/wav/Mrajesh1.wav 300.57555 300.96 Mrajesh1_90 ASA
raw_data/wav/Mrajesh1.wav 304.36526 304.73 Mrajesh1_91 AHHA
raw_data/wav/Mrajesh1.wav 306.15 306.58 Mrajesh1_92 AHHA
raw_data/wav/Mrajesh1.wav 308.05748 308.45133 Mrajesh1_93 AHHA
raw_data/wav/Mrajesh1.wav 311.41191 311.78442 Mrajesh1_94 ARRA
raw_data/wav/Mrajesh1.wav 313.17125 313.61104 Mrajesh1_95 ARRA
raw_data/wav/Mrajesh1.wav 315.02057 315.40385 Mrajesh1_96 ARRA
raw_data/wav/Mrajesh1.wav 318.31994 318.79351 Mrajesh1_97 ARHA
raw_data/wav/Mrajesh1.wav 319.99435 320.51866 Mrajesh1_98 ARHA
raw_data/wav/Mrajesh1.wav 321.78171 322.2438 Mrajesh1_99 ARHA
raw_data/wav/Mrajesh1.wav 326.93403 327.33848 Mrajesh1_100 ARTHA
raw_data/wav/Mrajesh1.wav 328.69154 329.16511 Mrajesh1_101 ARTHA
raw_data/wav/Mrajesh1.wav 330.60577 331.02557 Mrajesh1_102 ARTHA
raw_data/wav/Mrajesh1.wav 336.57115 336.99044 Mrajesh1_103 ARTA
raw_data/wav/Mrajesh1.wav 338.33398 338.69898 Mrajesh1_104 ARTA
raw_data/wav/Mrajesh1.wav 340.15351 340.55943 Mrajesh1_105 ARTA
raw_data/wav/Mrajesh1.wav 344.12769 344.54976 Mrajesh1_106 ANRA
raw_data/wav/Mrajesh1.wav 345.91035 346.34256 Mrajesh1_107 ANRA
raw_data/wav/Mrajesh1.wav 347.74609 348.08462 Mrajesh1_108 ANRA
raw_data/wav/FNiralee2.wav 8.39 8.93 FNiralee2_1 AKA
raw_data/wav/FNiralee2.wav 10.7 11.28 FNiralee2_2 AKA
raw_data/wav/FNiralee2.wav 13.05743 13.55 FNiralee2_3 AKA
raw_data/wav/FNiralee2.wav 17.15 17.81 FNiralee2_4 AKHA
raw_data/wav/FNiralee2.wav 19.69967 20.28724 FNiralee2_5 AKHA
raw_data/wav/FNiralee2.wav 22.2458 22.8 FNiralee2_6 AKHA
raw_data/wav/FNiralee2.wav 26.4 26.96 FNiralee2_7 AGA
raw_data/wav/FNiralee2.wav 28.74 29.3642 FNiralee2_8 AGA
raw_data/wav/FNiralee2.wav 31.15088 31.74054 FNiralee2_9 AGA
raw_data/wav/FNiralee2.wav 42.97959 43.52451 FNiralee2_10 AGHA
raw_data/wav/FNiralee2.wav 45.51187 46.10166 FNiralee2_11 AGHA
raw_data/wav/FNiralee2.wav 48.25 48.88396 FNiralee2_12 AGHA
raw_data/wav/FNiralee2.wav 52.19 52.68777 FNiralee2_13 ATXA
raw_data/wav/FNiralee2.wav 54.51 55.01 FNiralee2_14 ATXA
raw_data/wav/FNiralee2.wav 56.88 57.38137 FNiralee2_15 ATXA
raw_data/wav/FNiralee2.wav 61.12 61.65602 FNiralee2_16 ATXHA
raw_data/wav/FNiralee2.wav 63.48 64.0105 FNiralee2_17 ATXHA
raw_data/wav/FNiralee2.wav 65.87 66.37063 FNiralee2_18 ATXHA
raw_data/wav/FNiralee2.wav 69.84 70.31638 FNiralee2_19 ADXA
raw_data/wav/FNiralee2.wav 72.15 72.69619 FNiralee2_20 ADXA
raw_data/wav/FNiralee2.wav 74.57 75.076 FNiralee2_21 ADXA
raw_data/wav/FNiralee2.wav 78.7 79.23749 FNiralee2_22 AZA
raw_data/wav/FNiralee2.wav 81.11 81.65612 FNiralee2_23 AZA
raw_data/wav/FNiralee2.wav 83.33 83.89451 FNiralee2_24 AZA
raw_data/wav/FNiralee2.wav 93.5 94.09103 FNiralee2_25 ADXHA
raw_data/wav/FNiralee2.wav 95.94 96.49 FNiralee2_26 ADXHA
raw_data/wav/FNiralee2.wav 98.26682 98.82 FNiralee2_27 ADXHA
raw_data/wav/FNiralee2.wav 102.25533 102.75826 FNiralee2_28 ATRA
raw_data/wav/FNiralee2.wav 104.5 105.01 FNiralee2_29 ATRA
raw_data/wav/FNiralee2.wav 106.86548 107.36 FNiralee2_30 ATRA
raw_data/wav/FNiralee2.wav 114.90941 115.43 FNiralee2_31 ATRHA
raw_data/wav/FNiralee2.wav 117.36769 117.9 FNiralee2_32 ATRHA
raw_data/wav/FNiralee2.wav 119.82004 120.37226 FNiralee2_33 ATRHA
raw_data/wav/FNiralee2.wav 123.68566 124.1817 FNiralee2_34 ADRA
raw_data/wav/FNiralee2.wav 126.16475 126.6761 FNiralee2_35 ADRA
raw_data/wav/FNiralee2.wav 128.58537 129.07547 FNiralee2_36 ADRA
raw_data/wav/FNiralee2.wav 132.37637 132.9209 FNiralee2_37 ADRHA
raw_data/wav/FNiralee2.wav 134.74537 135.24376 FNiralee2_38 ADRHA
raw_data/wav/FNiralee2.wav 137.22415 137.75 FNiralee2_39 ADRHA
raw_data/wav/FNiralee2.wav 142.17883 142.66 FNiralee2_40 ATA
raw_data/wav/FNiralee2.wav 144.49948 144.97 FNiralee2_41 ATA
raw_data/wav/FNiralee2.wav 146.97 147.47 FNiralee2_42 ATA
raw_data/wav/FNiralee2.wav 151.1213 151.6 FNiralee2_43 ATHA
raw_data/wav/FNiralee2.wav 153.30776 153.79 FNiralee2_44 ATHA
raw_data/wav/FNiralee2.wav 155.72736 156.25828 FNiralee2_45 ATHA
raw_data/wav/FNiralee2.wav 159.21717 159.69337 FNiralee2_46 ADA
raw_data/wav/FNiralee2.wav 162.01984 162.44044 FNiralee2_47 ADA
raw_data/wav/FNiralee2.wav 164.70264 165.19 FNiralee2_48 ADA
raw_data/wav/FNiralee2.wav 173.71177 174.24 FNiralee2_49 ADHA
raw_data/wav/FNiralee2.wav 176.12967 176.65 FNiralee2_50 ADHA
raw_data/wav/FNiralee2.wav 178.52405 179.07 FNiralee2_51 ADHA
raw_data/wav/FNiralee2.wav 182.63703 183.07 FNiralee2_52 ANA
raw_data/wav/FNiralee2.wav 184.88 185.38 FNiralee2_53 ANA
raw_data/wav/FNiralee2.wav 187.14128 187.65 FNiralee2_54 ANA
raw_data/wav/FNiralee2.wav 190.85 191.32478 FNiralee2_55 APA
raw_data/wav/FNiralee2.wav 193.17 193.67 FNiralee2_56 APA
raw_data/wav/FNiralee2.wav 195.58 196.06 FNiralee2_57 APA
raw_data/wav/FNiralee2.wav 199.15 199.71959 FNiralee2_58 APHA
raw_data/wav/FNiralee2.wav 201.59388 202.08 FNiralee2_59 APHA
raw_data/wav/FNiralee2.wav 203.9804 204.54632 FNiralee2_60 APHA
raw_data/wav/FNiralee2.wav 208.52112 209.03307 FNiralee2_61 ABA
raw_data/wav/FNiralee2.wav 210.86227 211.32 FNiralee2_62 ABA
raw_data/wav/FNiralee2.wav 213.11139 213.62 FNiralee2_63 ABA
raw_data/wav/FNiralee2.wav 229.61735 230.12498 FNiralee2_64 ABHA
raw_data/wav/FNiralee2.wav 231.85597 232.33 FNiralee2_65 ABHA
raw_data/wav/FNiralee2.wav 234.02759 234.52 FNiralee2_66 ABH
raw_data/wav/FNiralee2.wav 238.07 238.51 FNiralee2_67 AJA
raw_data/wav/FNiralee2.wav 240.37279 240.82 FNiralee2_68 AJA
raw_data/wav/FNiralee2.wav 242.71 243.19 FNiralee2_69 AJA
raw_data/wav/FNiralee2.wav 293.59 294.14 FNiralee2_70 AMA
raw_data/wav/FNiralee2.wav 296.21 296.78 FNiralee2_71 AMA
raw_data/wav/FNiralee2.wav 298.81 299.43 FNiralee2_72 AMA
raw_data/wav/FNiralee2.wav 302.62 303.08 FNiralee2_73 ARA
raw_data/wav/FNiralee2.wav 305.1463 305.53542 FNiralee2_74 ARA
raw_data/wav/FNiralee2.wav 307.58 308.06 FNiralee2_75 ARA
raw_data/wav/FNiralee2.wav 311.10414 311.56919 FNiralee2_76 ALA
raw_data/wav/FNiralee2.wav 313.51622 313.95027 FNiralee2_77 ALA
raw_data/wav/FNiralee2.wav 316.15774 316.62899 FNiralee2_78 ALA
