CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
B,amelia_consonants_7,amelia_consonants_14,ewan_56,stimulus22_B,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p
B,ewan_59,ewan_50,amelia_consonants_9,stimulus23_B,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_vowels_39,amelia_vowels_5,ewan_37,stimulus24_A,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ
A,amelia_consonants_9,amelia_consonants_3,ewan_59,stimulus25_A,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t
A,amelia_consonants_46,amelia_consonants_38,ewan_96,stimulus26_A,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ
B,ewan_92,ewan_83,amelia_consonants_42,stimulus27_B,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ
B,ewan_87,ewan_96,amelia_consonants_38,stimulus28_B,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s
A,amelia_consonants_34,amelia_consonants_42,ewan_83,stimulus29_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s
A,amelia_consonants_42,amelia_consonants_49,ewan_92,stimulus30_A,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ
B,ewan_96,ewan_101,amelia_consonants_46,stimulus31_B,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ
B,ewan_97,ewan_92,amelia_consonants_49,stimulus32_B,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ
A,amelia_consonants_55,amelia_consonants_46,ewan_101,stimulus33_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
A,ewan_96,ewan_62,amelia_consonants_46,stimulus34_A,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ
A,amelia_vowels_1,amelia_vowels_25,ewan_2,stimulus35_A,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,amelia_consonants_42,amelia_consonants_9,ewan_92,stimulus36_B,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ
B,ewan_59,ewan_92,amelia_consonants_9,stimulus37_B,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_consonants_14,amelia_consonants_46,ewan_62,stimulus38_A,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t
A,ewan_87,ewan_101,amelia_consonants_38,stimulus39_A,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s
B,ewan_83,ewan_97,amelia_consonants_34,stimulus40_B,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s
B,amelia_consonants_55,amelia_consonants_38,ewan_101,stimulus41_B,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
A,amelia_consonants_49,amelia_consonants_34,ewan_97,stimulus42_A,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ
A,amelia_consonants_34,amelia_consonants_9,ewan_83,stimulus43_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s
B,ewan_87,ewan_62,amelia_consonants_38,stimulus44_B,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s
B,amelia_consonants_14,amelia_consonants_38,ewan_62,stimulus45_B,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t
B,ewan_8,ewan_29,amelia_vowels_5,stimulus46_B,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ
A,ewan_59,ewan_83,amelia_consonants_9,stimulus47_A,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_consonants_55,amelia_consonants_14,ewan_101,stimulus48_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
B,ewan_101,ewan_62,amelia_consonants_55,stimulus49_B,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ
B,ewan_59,ewan_97,amelia_consonants_9,stimulus50_B,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_consonants_9,amelia_consonants_49,ewan_59,stimulus51_A,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t
B,amelia_vowels_30,amelia_vowels_5,ewan_29,stimulus52_B,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_28,ewan_2,amelia_vowels_25,stimulus53_A,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
A,ewan_8,ewan_46,amelia_vowels_5,stimulus54_A,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ
B,amelia_vowels_1,amelia_vowels_41,ewan_2,stimulus55_B,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,ewan_43,ewan_2,amelia_vowels_41,stimulus56_B,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u
