CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,ewan_58,stimulus83_B,stimuli/raw/ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,0.313289530071906,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,0.317317104298793,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
B,ewan_55,stimulus87_B,stimuli/raw/ewan.wav,166.2925,166.9025,EEPEE,ewan,C,I,p,0.298060534447422,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE,0.317553012109967,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,ewan_25,stimulus43_B,stimuli/raw/ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ,0.376596504011237,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_18,47.1525,46.44523,i,amelia,HEEDAH,0.320174558708622,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH
B,amelia_consonants_20,stimulus86_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,0.368315349792755,A,C,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH,0.302417738603435,A,C,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
A,amelia_vowels_41,stimulus36_A,stimuli/raw/amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,0.406387544403914,A,V,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH,0.325274023057048,A,V,stimuli/raw/ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH
B,amelia_consonants_22,stimulus94_B,stimuli/raw/amelia_consonants.wav,58.98421,59.674519999999994,EEKEE,amelia,C,I,k,0.300980745278683,I,C,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,0.287747263777076,I,C,stimuli/raw/ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE
B,ewan_22,stimulus38_B,stimuli/raw/ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,0.391304505301657,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_37,97.7525,97.03204,ʊ,amelia,HOODI,0.29163707508999,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
A,amelia_consonants_42,stimulus92_A,stimuli/raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,0.321235806398816,A,C,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,0.291436401252344,A,C,stimuli/raw/ewan.wav,ewan_90,262.4725,261.8925,ʃ,ewan,ASHAH
B,amelia_consonants_22,stimulus90_B,stimuli/raw/amelia_consonants.wav,58.98421,59.674519999999994,EEKEE,amelia,C,I,k,0.308476250687743,I,C,stimuli/raw/ewan.wav,ewan_95,274.9925,274.4625,ʃ,ewan,EESHEE,0.287747263777076,I,C,stimuli/raw/ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE
B,ewan_14,stimulus34_B,stimuli/raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,0.361894396149111,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI,0.312246758206146,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI
B,ewan_78,stimulus82_B,stimuli/raw/ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,0.345983077205222,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,0.285111074304766,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,amelia_consonants_54,stimulus142_B,stimuli/raw/amelia_consonants.wav,142.7325,143.47846,EETHEE,amelia,C,I,θ,0.312801032561758,I,C,stimuli/raw/ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,0.270685845999838,I,C,stimuli/raw/ewan.wav,ewan_102,293.1425,292.5625,θ,ewan,EETHEE
A,amelia_consonants_46,stimulus129_A,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,0.273498611864322,I,C,stimuli/raw/ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,0.250274670784106,I,C,stimuli/raw/ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE
B,ewan_103,stimulus135_B,stimuli/raw/ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,0.297427747104129,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,0.271871040751538,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
