File1,File2,File3,CORR_ANS,filename
amelia_vowels_41,amelia_vowels_34,ewan_34,B,stimulus54
amelia_vowels_21,amelia_vowels_6,ewan_21,A,stimulus8
ewan_58,ewan_68,amelia_consonants_20,B,stimulus102
amelia_vowels_38,amelia_vowels_45,ewan_45,B,stimulus55
ewan_25,ewan_2,amelia_vowels_25,A,stimulus16
ewan_25,ewan_34,amelia_vowels_25,A,stimulus52
amelia_consonants_20,amelia_consonants_50,ewan_68,A,stimulus97
amelia_consonants_42,amelia_consonants_4,ewan_90,A,stimulus108
amelia_vowels_2,amelia_vowels_25,ewan_2,A,stimulus13
ewan_34,ewan_41,amelia_vowels_34,A,stimulus53
amelia_consonants_20,amelia_consonants_10,ewan_58,B,stimulus103
ewan_2,ewan_9,amelia_vowels_9,B,stimulus3
ewan_54,ewan_95,amelia_consonants_47,B,stimulus107
ewan_2,ewan_17,amelia_vowels_17,B,stimulus7
amelia_vowels_41,amelia_vowels_34,ewan_41,A,stimulus60
ewan_13,ewan_6,amelia_vowels_13,A,stimulus4
amelia_vowels_2,amelia_vowels_17,ewan_2,A,stimulus5
ewan_29,ewan_6,amelia_vowels_6,B,stimulus14
ewan_66,ewan_76,amelia_consonants_28,B,stimulus62
amelia_vowels_9,amelia_vowels_2,ewan_2,B,stimulus2
ewan_98,ewan_68,amelia_consonants_20,B,stimulus98
amelia_vowels_45,amelia_vowels_38,ewan_38,B,stimulus58
amelia_consonants_18,amelia_consonants_28,ewan_66,A,stimulus64
ewan_38,ewan_45,amelia_vowels_45,B,stimulus59
ewan_34,ewan_41,amelia_vowels_34,A,stimulus57
amelia_vowels_37,amelia_vowels_6,ewan_37,A,stimulus12
amelia_consonants_4,amelia_consonants_34,ewan_82,B,stimulus111
amelia_vowels_6,amelia_vowels_13,ewan_6,A,stimulus1
amelia_consonants_39,amelia_consonants_6,ewan_87,A,stimulus112
amelia_vowels_33,amelia_vowels_2,ewan_2,B,stimulus10
ewan_45,ewan_38,amelia_vowels_45,A,stimulus56
ewan_21,ewan_6,amelia_vowels_6,B,stimulus6
ewan_2,ewan_33,amelia_vowels_33,B,stimulus11
ewan_87,ewan_54,amelia_consonants_6,B,stimulus110
ewan_90,ewan_52,amelia_consonants_4,B,stimulus106
ewan_52,ewan_82,amelia_consonants_4,A,stimulus109
amelia_consonants_30,amelia_consonants_23,ewan_78,A,stimulus61
ewan_6,ewan_37,amelia_vowels_6,A,stimulus9
ewan_70,ewan_103,amelia_consonants_55,B,stimulus99
ewan_78,ewan_71,amelia_consonants_23,B,stimulus63
amelia_vowels_6,amelia_vowels_29,ewan_29,B,stimulus15
