CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,amelia_vowels_25,stimulus44_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,0.321160105479101,A,V,stimuli/raw/ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH,0.227259753089217,A,V,stimuli/raw/ewan.wav,ewan_25,73.8125,73.0025,ʌ,ewan,HUHDAH
B,amelia_vowels_45,stimulus35_B,stimuli/raw/amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,0.363964311379497,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,0.303617479329459,I,V,stimuli/raw/ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
B,ewan_92,stimulus130_B,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,0.336853618239572,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH,0.213923792568668,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH
B,ewan_22,stimulus42_B,stimuli/raw/ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,0.351818785011931,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI,0.26772798809446,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,amelia_vowels_37,stimulus27_B,stimuli/raw/amelia_vowels.wav,97.03204000000001,97.7525,HOODI,amelia,V,I,ʊ,0.345422046412121,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,0.274907624878039,I,V,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
B,amelia_consonants_39,stimulus123_B,stimuli/raw/amelia_consonants.wav,104.21429,104.88503999999999,EESSEE,amelia,C,I,s,0.311012828461269,I,C,stimuli/raw/ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE,0.277191928461023,I,C,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_87,stimulus75_B,stimuli/raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,0.268771947297749,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,0.277191928461023,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE
B,amelia_consonants_2,stimulus67_B,stimuli/raw/amelia_consonants.wav,5.00997,5.586069999999999,APAH,amelia,C,A,p,0.284770486536847,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,0.288152665452424,A,C,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,amelia_vowels_10,stimulus21_A,stimuli/raw/amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,0.314002987179516,A,V,stimuli/raw/ewan.wav,ewan_17,49.8125,49.0225,i,ewan,HEEDAH,0.221411426604013,A,V,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
A,ewan_82,stimulus124_A,stimuli/raw/ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,0.246777367250901,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH,0.254631715958187,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,amelia_consonants_55,stimulus80_A,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,0.291946076013773,I,C,stimuli/raw/ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,0.290676790141477,I,C,stimuli/raw/ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
A,ewan_45,stimulus20_A,stimuli/raw/ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,0.35146387862635,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_6,15.5725,14.8025,ɑ,amelia,HADI,0.303617479329459,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI
A,amelia_consonants_28,stimulus69_A,stimuli/raw/amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,0.296497043773864,A,C,stimuli/raw/ewan.wav,ewan_90,262.4725,261.8925,ʃ,ewan,ASHAH,0.259299014463084,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,amelia_vowels_6,stimulus17_A,stimuli/raw/amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,0.35146387862635,I,V,stimuli/raw/ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI,0.247281525412825,I,V,stimuli/raw/ewan.wav,ewan_6,18.1025,17.36061,ɑ,ewan,HADI
B,ewan_54,stimulus114_B,stimuli/raw/ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,0.31143714946836,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE,0.266178206938074,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
A,amelia_consonants_50,stimulus116_A,stimuli/raw/amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,0.289815367738662,A,C,stimuli/raw/ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH,0.232142944596954,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH
